,abstract,keyword0,keyword1,keyword2,keyword3,keyword4,introduction,conclusion,text,word freq. in sentence
18,0.046636085626911315,0.0,0.0,0.0,0.0,0.0,0.2513309671694765,0.05343511450381679,0.028434148572964425,0.02552594670406734
19,0.18154761904761904,0.0,0.0,0.0,0.0,0.0,0.3184829936265539,0.15671641791044777,0.0227183778890749,0.028050490883590483
20,0.2269345238095238,0.0,0.0,0.0,0.0,0.0,0.3184829936265539,0.15671641791044777,0.01703323652114548,0.020196353436185144
21,0.222953216374269,0.0,0.0,0.0,0.0,0.0,0.36292707481281067,0.2058823529411765,0.04542835981488023,0.04754558204768586
22,0.18154761904761904,0.0,0.0,0.0,0.0,0.0,0.3184829936265539,0.15671641791044777,0.04545894336079258,0.02889200561009819
23,0.529513888888889,0.0,0.0,0.0,0.0,0.0,1.0,0.5060240963855421,0.13507401535004968,0.08779803646563826
24,0.19003115264797507,0.0,0.0,0.0,0.0,0.0,0.20623569794050342,0.05426356589147287,0.005679980264375981,0.0060308555399719525
25,0.049352750809061485,0.0,0.0,0.0,0.0,0.0,0.11524936061381075,0.0,0.005693638206462874,0.004207573632538572
26,0.2629310344827586,0.0,0.0,0.0,0.0,0.0,0.4071146245059289,0.050724637681159424,0.03404111463977781,0.017952314165497908
27,0.0,0.0,0.0,0.0,0.0,0.0,0.06935359753751442,0.0,0.005700479470883538,0.003646563814866762
28,0.17086834733893558,0.0,0.0,0.0,0.0,0.0,0.47291979010494756,0.04964539007092199,0.0680451227195644,0.03225806451612905
29,0.13990825688073397,0.0,0.0,0.0,0.0,0.0,0.2513309671694765,0.1603053435114504,0.011363409811196119,0.008835904628331
30,0.2269345238095238,0.0,0.0,0.0,0.0,0.0,0.3184829936265539,0.26119402985074625,0.034088660624933736,0.027349228611500728
31,0.2772727272727273,0.0,0.0,0.0,0.0,0.0,0.2737801404974369,0.15909090909090912,0.03980101990485803,0.019074333800841524
32,0.23106060606060608,0.0,0.0,0.0,0.0,0.0,0.2737801404974369,0.21212121212121213,0.028423932691000475,0.03730715287517534
33,0.0,0.0,0.0,0.0,0.0,0.0,0.20623569794050342,0.0,0.02276094408679824,0.007573632538569429
34,0.29901960784313725,0.0,0.0,0.0,0.0,0.0,0.47291979010494756,0.24822695035460995,0.07939165374573925,0.038990182328190764
35,0.04750778816199377,0.0,0.0,0.0,0.0,0.0,0.20623569794050342,0.05426356589147287,0.011373634871850067,0.009957924263674619
36,0.0,0.0,0.0,0.0,0.0,0.0,0.06935359753751442,0.0,0.011404383681611403,0.004347826086956524
37,0.26991150442477874,0.0,0.0,0.0,0.0,0.0,0.34073724007561434,0.25925925925925924,0.06249397233859723,0.05077138849929877
38,0.3080808080808081,0.0,0.0,0.0,0.0,0.0,0.7516403998282947,0.31818181818181823,0.09036547618737419,0.05273492286115011
39,0.19182389937106917,0.0,0.0,0.0,0.0,0.0,0.18358902539945254,0.1640625,0.022769472628750717,0.015287517531556811
40,0.19551282051282054,0.0,0.0,0.0,0.0,0.0,0.709427464485579,0.3684210526315789,0.14696966207489223,0.08204768583450217
41,0.1412037037037037,0.0,0.0,0.0,0.0,0.0,0.22881624880990162,0.1076923076923077,0.022752420651757112,0.007854137447405334
42,0.375,0.0,0.0,0.0,0.0,0.0,0.5381601044971077,0.19444444444444445,0.07364734555180814,0.03842917251051896
43,0.13863636363636364,0.0,0.0,0.0,0.0,0.0,0.2737801404974369,0.2651515151515152,0.06255519433257314,0.05021037868162696
44,0.13616071428571427,0.0,0.0,0.0,0.0,0.0,0.3184829936265539,0.05223880597014926,0.06251436746458083,0.020196353436185144
45,0.8133333333333334,0.0,0.0,0.0,0.0,0.0,0.6028428093645485,0.5238095238095238,0.13020768612972075,0.07812061711079948
