,abstract,keyword0,keyword1,keyword2,keyword3,keyword4,introduction,conclusion,text,word freq. in sentence
103,0.34537815126050414,0.0,0.0,0.0,0.0,0.0,0.2782889426957224,0.325,0.1773434180334835,0.2814885496183206
104,0.23826086956521736,0.0,0.0,0.0,0.0,0.0,0.17563162184189082,0.2207547169811321,0.11851094641792316,0.18606870229007633
105,0.20206489675516223,0.0,0.0,0.0,0.0,0.0,0.17649467649467648,0.18571428571428572,0.08898933901918978,0.1583969465648855
106,0.2767676767676768,0.0,0.24358974358974358,0.2551020408163265,0.0,0.20512820512820515,0.4384194053208138,0.2724890829694323,0.36663012312362964,0.2919847328244274
107,0.08011695906432748,0.0,0.0,0.0,0.0,0.0,0.10563725490196078,0.1109004739336493,0.10375894988066826,0.10114503816793893
108,0.08154761904761904,0.0,0.0,0.0,0.0,0.0,0.07077175697865354,0.07464114832535886,0.0742020822665984,0.05534351145038168
109,0.07873563218390804,0.0,0.0,0.0,0.0,0.0,0.14016260162601626,0.07323943661971832,0.13324536012259494,0.10496183206106871
110,0.15480225988700563,0.0,0.0,0.0,0.0,0.0,0.17435275080906149,0.1813953488372093,0.16266156462585035,0.15553435114503816
111,0.14972677595628414,0.0,0.0,0.0,0.0,0.0,0.10360576923076924,0.17808219178082194,0.2212843569731931,0.12499999999999999
112,0.1887052341597796,0.0,0.0,0.0,0.0,0.0,0.13847389558232934,0.35779816513761475,0.2066547831253714,0.20133587786259544
113,0.0808259587020649,0.0,0.0,0.0,0.0,0.0,0.1058968058968059,0.1485714285714286,0.08898933901918978,0.13263358778625953
114,0.08228228228228228,0.0,0.0,0.0,0.0,0.0,0.10641975308641977,0.11250000000000002,0.059397147980531126,0.10591603053435114
115,0.15884057971014492,0.0,0.0,0.0,0.0,0.0,0.14050529747351265,0.07358490566037736,0.11851094641792316,0.08969465648854962
116,0.03971014492753623,0.0,0.0,0.0,0.0,0.0,0.03512632436837816,0.11037735849056605,0.11851094641792316,0.058206106870229014
117,0.07548209366391184,0.0,0.0,0.0,0.0,0.0,0.17309236947791165,0.07155963302752294,0.2066547831253714,0.11450381679389313
118,0.11913043478260868,0.0,0.0,0.0,0.0,0.0,0.03512632436837816,0.07358490566037736,0.11851094641792316,0.042938931297709926
119,0.23220338983050848,0.0,0.0,0.0,0.0,0.0,0.27896440129449834,0.25395348837209303,0.16266156462585035,0.25
120,0.04151515151515151,0.0,0.0,0.0,0.0,0.0,0.0,0.03768115942028986,0.0445745044429255,0.022900763358778622
121,0.43149606299212595,0.0,0.0,0.0,0.0,0.0,0.5460015835312748,0.4526785714285715,0.29417237587752687,0.44465648854961837
122,0.0418960244648318,0.0,0.0,0.0,0.0,0.0,0.035649296939619525,0.037864077669902914,0.02973411985979311,0.011450381679389313
