,abstract,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,introduction,conclusion,text,word freq. in sentence
0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4794520547945205,0.09512195121951218,0.20232861888547782,0.09324009324009323
1,0.8446455505279036,0.0,0.0,0.0,0.0,0.0,0.0,0.3875432525951557,0.06459627329192545,0.09202778691771364,0.08741258741258741
2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5114155251141552,0.4121951219512195,0.2575288245918852,0.4061771561771563
3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3515981735159817,0.22195121951219512,0.18392855031667535,0.11829836829836832
4,0.4491978609625668,0.0,0.0,0.0,0.0,0.0,0.0,0.23167848699763596,0.23636363636363636,0.110716346183019,0.1287878787878788
5,0.8973080757726819,0.0,0.0,0.0,0.0,0.0,0.0,0.35402298850574715,0.35308641975308636,0.2576947404491332,0.270979020979021
6,0.949085516559565,0.0,0.0,0.0,0.0,0.0,0.0,0.22451317296678125,0.2871165644171779,0.14717817297988747,0.0944055944055944
7,0.3559070687098369,0.0,0.0,0.0,0.0,0.0,0.0,0.5131729667812143,0.25521472392638034,0.22080056272212717,0.13752913752913754
8,0.9411764705882353,0.0,0.0,0.0,0.0,0.0,0.0,0.54337899543379,0.09512195121951218,0.16552848174787288,0.09382284382284381
9,0.4666990763247448,0.0,0.0,0.0,0.0,0.0,0.0,0.5733788395904437,0.2206060606060606,0.27584048442281955,0.3164335664335665
10,0.7058823529411765,0.0,0.0,0.0,0.0,0.0,0.0,0.54337899543379,0.09512195121951218,0.14712841317907044,0.12878787878787878
11,0.5692599620493358,0.0,0.0,0.0,0.0,0.0,0.0,0.6621621621621622,0.2476190476190476,0.29395356279079266,0.37470862470862476
12,0.5294117647058824,0.0,0.0,0.0,0.0,0.0,0.0,0.54337899543379,0.22195121951219512,0.2207286874542803,0.23659673659673666
13,0.5338606030647552,0.0,0.0,0.0,0.0,0.0,0.0,0.5131729667812143,0.38282208588957056,0.25761175759324695,0.2814685314685315
14,0.6943105110896818,0.0,0.0,0.0,0.0,0.0,0.0,0.6031746031746033,0.3445783132530121,0.2941411495615708,0.3205128205128206
15,0.17647058823529413,0.0,0.0,0.0,0.0,0.0,0.0,0.54337899543379,0.09512195121951218,0.2207286874542803,0.1794871794871795
16,0.1925133689839572,0.0,0.0,0.0,0.0,0.0,0.0,0.23167848699763596,0.06753246753246753,0.03689431754120711,0.08391608391608392
17,0.1206636500754148,0.0,0.0,0.0,0.0,0.0,0.0,0.45213379469434833,0.1291925465838509,0.1472777823466464,0.07342657342657344
18,0.41522491349480967,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1733333333333333,0.4576412594093635,0.25815850815850816
19,0.8167233835683034,0.0,0.0,0.0,0.0,0.0,0.0,0.5733788395904437,0.5042424242424242,0.312629570468191,0.33624708624708627
20,0.06597031335898845,0.0,0.0,0.0,0.0,0.0,0.0,0.13381123058542413,0.03443708609271523,0.018472203940151814,0.03496503496503497
21,0.31233732431025507,0.0,0.0,0.0,0.0,0.0,0.0,0.32748538011695905,0.23184713375796176,0.12903852035977215,0.14044289044289046
22,0.31512605042016806,0.0,0.0,0.0,0.0,0.0,0.0,0.29577464788732394,0.2,0.12908293792204253,0.07750582750582752
23,0.2543720190779014,0.0,0.0,0.0,0.0,0.0,0.0,0.26383981154299174,0.13419354838709677,0.09222748569637243,0.11655011655011657
24,0.1907790143084261,0.0,0.0,0.0,0.0,0.0,0.0,0.26383981154299174,0.16774193548387095,0.12912738224188053,0.040209790209790215
25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19928825622775803,0.03398692810457516,0.05537207365544,0.015734265734265736
26,0.3559070687098369,0.0,0.0,0.0,0.0,0.0,0.0,0.22451317296678125,0.19141104294478528,0.2760173550288069,0.3304195804195804
27,0.3471552555448409,0.0,0.0,0.0,0.0,0.0,0.0,0.38095238095238093,0.15662650602409636,0.33091919115000873,0.31060606060606066
28,0.17357762777242045,0.41025641025641024,0.390625,0.3157894736842105,0.6,0.45000000000000007,0.0,0.2857142857142857,0.09397590361445782,0.33091919115000873,0.2167832167832168
29,0.06359300476947535,0.0,0.0,0.0,0.0,0.0,0.0,0.06595995288574794,0.10064516129032258,0.12912738224188053,0.06643356643356645
30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06624203821656051,0.16591620143475314,0.05710955710955711
31,0.0,0.5161290322580645,0.5208333333333333,0.8,0.7777777777777778,0.5625,0.7692307692307693,0.03263403263403264,0.032911392405063286,0.1842940045825619,0.061188811188811185
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03421052631578947,0.07386097101544574,0.044289044289044295
33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032407407407407406,0.065,0.22101644792513075,0.07925407925407925
34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032295271049596314,0.032298136645962726,0.23936110806153424,0.04428904428904429
35,0.061381074168797956,0.0,0.0,0.0,0.0,0.0,0.0,0.13008130081300814,0.1962264150943396,0.20266075008708076,0.14976689976689977
36,0.25210084033613445,0.0,0.0,0.0,0.0,0.0,0.0,0.1643192488262911,0.1,0.1475273306548168,0.15151515151515152
37,0.3179650238473768,0.0,0.0,0.0,0.0,0.0,0.0,0.16489988221436985,0.06709677419354838,0.12912738224188053,0.12470862470862472
38,0.4223227752639518,0.0,0.0,0.0,0.0,0.0,0.0,0.2906574394463668,0.32298136645962733,0.23936110806153424,0.34848484848484845
