,abstract,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,introduction,conclusion,text,word freq. in sentence
94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10282161645145864,0.08996594598875425,0.40155599993003294,0.1912034208918755
95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042962407893093545,0.0,0.06469903467484156,0.032987171655467336
96,0.042678440029433405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08413843707961356,0.11475674802004203,0.2256604181233942,0.1441661576053758
97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042600619195046444,0.023210199411572405,0.12920495384762629,0.02993280390959073
98,0.16848220769789396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10473754719279016,0.16006441223832527,0.25773163328998455,0.14050091631032385
99,0.044753086419753084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08538098783817324,0.0930156390731188,0.11309367815228666,0.061698228466707424
100,0.0870870870870871,0.3676470588235294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063499876938223,0.046160097521332794,0.17747809816266458,0.0751374465485645
101,0.1989026063100137,0.78125,0.2608695652173913,0.8055555555555555,0.0,0.5222222222222223,0.5256410256410255,0.5256410256410255,0.26136363636363635,0.12338593974175037,0.15744040548031996,0.40155599993003294,0.20708613317043387
102,0.03790849673202614,0.6696428571428571,0.3333333333333333,0.9886363636363635,0.0,0.6650943396226415,0.6542553191489361,0.6542553191489361,0.3317307692307693,0.1011764705882353,0.11084224494574975,0.5287224044599288,0.19609040928527807
103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06363300036995931,0.046246539651522554,0.16139715432647755,0.06902871105681127
104,0.17901234567901234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12807148175725988,0.0697617293048391,0.11309367815228666,0.050702504581551656
105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08484400049327909,0.046246539651522554,0.16139715432647755,0.020769700671960916
106,0.17185185185185187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08431372549019608,0.13796453728443042,0.2096097205706041,0.09102015882712285
107,0.0441400304414003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06376668314384577,0.09266661228485194,0.14530610939491606,0.10568112400733055
108,0.044753086419753084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08538098783817324,0.11626954884139849,0.11309367815228666,0.10079413561392798
109,0.08106219426974144,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08276193913148082,0.0678451982799809,0.3537045189636692,0.14905314599877836
110,0.08950617283950617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04269049391908662,0.0232539097682797,0.11309367815228666,0.02687843616371413
111,0.09013209013209013,0.43103448275862066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04278074866310161,0.023297785069729286,0.09697227276458907,0.02932193036041541
112,0.16011042097998618,0.5319148936170213,0.0,0.0,0.0,0.0,0.2697368421052631,0.2697368421052631,0.2674418604651163,0.20606205822451182,0.22532529355760073,0.3856154784494177,0.20158827122785597
113,0.11788617886178861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22529173612764944,0.08963939083090033,0.433407173082118,0.17532070861331717
114,0.08535688005886681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08413843707961356,0.0918053984160336,0.2256604181233942,0.12400733048259019
115,0.04354354354354355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063499876938223,0.06924014628199918,0.17747809816266458,0.06841783750763596
116,0.08424110384894698,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12568505663134819,0.13719806763285025,0.25773163328998455,0.14599877825290175
117,0.04212055192447349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.041895018877116066,0.045732689210950084,0.25773163328998455,0.11484422724496038
118,0.039057239057239054,0.24509803921568626,0.0,0.0,0.0,0.0,0.244047619047619,0.0,0.0,0.020439691027926324,0.04473850031505986,0.44931784340473313,0.11606597434331102
119,0.045705279747832936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023386034255599472,0.06469903467484156,0.02199144777031156
120,0.04325130499627144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02112243644848336,0.023036988968202464,0.1935489504118819,0.052535125229077606
121,0.03978052126200274,0.26041666666666663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.061692969870875185,0.044982972994377125,0.40155599993003294,0.1612706169822848
122,0.0441400304414003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042511122095897184,0.06949995921363895,0.14530610939491606,0.061698228466707424
123,0.0836940836940837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08361691784151677,0.09129631117897613,0.27375216981352096,0.1215638362858889
124,0.04354354354354355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.063499876938223,0.09232019504266559,0.17747809816266458,0.03970678069639587
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1635175282234106,0.08947700063011972,0.44931784340473313,0.08002443494196708
126,0.19179894179894177,0.23148148148148145,0.0,0.0,0.0,0.0,0.0,0.0,0.115,0.12189936215450037,0.17798668233450843,0.496990301021402,0.19914477703115468
127,0.04444444444444444,0.4032258064516129,0.0,0.0,0.0,0.0,0.0,0.0,0.21296296296296297,0.021300309597523222,0.04642039882314481,0.12920495384762629,0.018937080024434956
128,0.045066045066045064,0.43103448275862066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021390374331550804,0.04659557013945857,0.09697227276458907,0.02504581551618816
129,0.19179894179894177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2641152846680841,0.24473168820994906,0.496990301021402,0.29871716554673206
130,0.04053109713487072,0.2777777777777778,0.0,0.0,0.0,0.0,0.2847222222222222,0.0,0.0,0.08276193913148082,0.04523013218665392,0.3537045189636692,0.10507025045815524
131,0.045705279747832936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06444361183964033,0.023386034255599472,0.06469903467484156,0.027489309712889445
