,abstract,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,introduction,conclusion,text,word freq. in sentence
172,0.5880721220527045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5125673249551167,0.19929714955095662,0.20937941194524584,0.42452830188679175
173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22669010889292196,0.033556870479947404,0.1398696026571534,0.07816711590296482
174,0.10515873015873015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19465909090909092,0.0840358271865121,0.12825719120135362,0.09703504043126668
175,0.4162984781541482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2590744101633394,0.16778435239973702,0.1398696026571534,0.36792452830188616
176,0.05671482075976458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09858425414364641,0.017011065191307823,0.04674972246206981,0.08355795148247964
177,0.17207792207792205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032922047970479706,0.051121794871794864,0.03507418946848875,0.1765498652291102
178,0.05427547363031234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09786334552102376,0.016893949424069906,0.09337275190933728,0.08760107816711575
179,0.21710189452124937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22834780621572212,0.08446974712034952,0.09337275190933728,0.2506738544474389
180,0.4732142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22710227272727274,0.1512644889357218,0.12825719120135362,0.21563342318059264
181,0.21710189452124937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09786334552102376,0.06757579769627962,0.09337275190933728,0.1388140161725065
182,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4142299107142857,0.18176638176638174,0.24402882109458837,0.3490566037735844
183,0.3397435897435897,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35175851254480284,0.1658004158004158,0.22093701101463503,0.28840970350404255
184,0.39589169000933705,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35302383093525175,0.1829986962190352,0.1978140063246446,0.4231805929919129
185,0.2575315840621963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19395380434782608,0.15074822788133369,0.15147415992867463,0.33692722371967604
186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017070234113712373,0.023390730111707708,0.026954177897574073
187,0.4206349206349206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16221590909090908,0.13445732349841938,0.12825719120135362,0.4649595687331529
188,0.29176988714560964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.426883971291866,0.3563831025253113,1.0,1.0
189,0.2628968253968254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2595454545454545,0.11765015806111695,0.12825719120135362,0.1671159029649593
190,0.16282642089093702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13048446069469835,0.08446974712034952,0.09337275190933728,0.18059299191374634
191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017070234113712373,0.023390730111707708,0.03638814016172501
