,abstract,keyword0,keyword1,keyword2,keyword3,introduction,conclusion,text,word freq. in sentence
78,0.09203980099502487,0.0,0.0,0.0,0.0,0.017079741379310346,0.07456828885400316,0.06973258461033295,0.030746705710102455
79,0.13909774436090225,0.0,0.0,0.0,0.0,0.034218480138169256,0.0,0.06201585935021977,0.01952171791117616
80,0.3224400871459695,0.0,0.0,0.0,0.0,0.19845575959933223,0.24675324675324675,0.21495930402172317,0.08150317227916043
81,0.18353174603174602,0.2155425219941349,0.0,0.22889610389610388,0.2328125,0.11293770358306189,0.05428571428571429,0.3277758063088519,0.16398243045387975
82,0.09635416666666666,0.0,0.0,0.0,0.0,0.034516550522648085,0.0,0.023321094423728036,0.020497803806734965
83,0.09414758269720101,0.5345454545454545,0.0,0.6746411483253588,0.0,0.06867417677642981,0.15422077922077923,0.04656021307181473,0.04782820888238159
84,0.18271604938271604,0.4608150470219436,0.0,0.5573122529644269,0.0,0.08525172117039587,0.22127329192546585,0.0774419254443599,0.07955100048804283
85,0.17249417249417248,0.0,0.0,0.0,0.0,0.16818760611205433,0.13571428571428573,0.1388520798858559,0.06979014153245475
86,0.4614512471655329,0.3259423503325942,0.0,0.3662337662337662,0.0,0.26728499156829677,0.1304945054945055,0.1693818664659526,0.13030746705710083
87,0.3224400871459695,0.28433268858800775,0.0,0.31263858093126384,0.0,0.23153171953255428,0.24675324675324675,0.21495930402172317,0.18545632015617353
88,0.15040650406504064,0.0,0.0,0.0,0.0,0.12991803278688524,0.11216056670602126,0.29784757767002634,0.13274768179599788
89,0.8869863013698629,0.0,0.0,0.0,0.0,0.28447001689189194,0.46116504854368934,0.1617603181264663,0.1854563201561735
90,0.32671081677704195,0.0,0.0,0.0,0.0,0.24890075376884424,0.25132275132275134,0.19979568044745444,0.11127379209370408
91,0.04817708333333333,0.0,0.0,0.0,0.0,0.034516550522648085,0.0,0.023321094423728036,0.010248901903367484
92,0.0,0.0,0.0,0.0,0.0,0.017348949211908934,0.0,1.4939856464167294e-05,0.00244021473889702
93,0.0,0.0,0.0,0.0,0.0,0.017050344234079175,0.0,0.0774419254443599,0.05319668130795502
94,0.0,0.0,0.0,0.0,0.0,0.017348949211908934,0.0,1.4939856464167294e-05,0.00244021473889702
95,0.16228070175438594,0.29051383399209485,0.3611111111111111,0.0,0.0,0.16565635451505017,0.3112712975098297,0.20738109062651436,0.11713030746705695
96,0.0,0.0,0.0,0.0,0.0,0.017348949211908934,0.0,1.4939856464167294e-05,0.00244021473889702
97,0.04780361757105943,0.0,0.0,0.0,0.0,0.034456521739130434,0.0,0.031074901445466492,0.026354319180087814
98,0.07905982905982906,0.0,0.0,0.0,0.0,0.23037790697674418,0.06005056890012643,0.2376508657797122,0.14202049780380654
99,0.0,0.0,0.0,0.0,0.0,0.017348949211908934,0.0,1.4939856464167294e-05,0.00244021473889702
