,abstract,keyword0,keyword1,keyword2,keyword3,introduction,conclusion,text,word freq. in sentence
0,1.0,0.0,0.0,0.0,0.0,0.7058241214321069,0.346031112883925,0.17443095682261942,0.3745454545454544
1,0.6745562130177516,0.0,0.0,0.0,0.0,0.3125525121828264,0.21416815251680155,0.0875021707421555,0.26981818181818173
2,0.6745562130177516,0.0,0.0,0.0,0.0,0.3125525121828264,0.21416815251680155,0.0947968770512957,0.19563636363636355
3,0.6018099547511313,0.0,0.0,0.0,0.0,0.3764547141170517,0.19158040027605247,0.08026603684901373,0.15854545454545452
4,0.6745562130177516,0.0,0.0,0.0,0.0,0.3125525121828264,0.11898230695377864,0.0947968770512957,0.10472727272727272
5,0.1686390532544379,0.0,0.0,0.0,0.0,0.5000840194925222,0.09518584556302291,0.05832334550559465,0.11636363636363628
6,0.17194570135746606,0.0,0.0,0.0,0.0,0.43919716646989376,0.14368530020703935,0.08756562419282048,0.10036363636363636
7,0.24358974358974358,0.0,0.0,0.0,0.0,0.6205170975813178,0.18799945821481784,0.0873755180783574,0.21672727272727274
8,0.0782967032967033,0.0,0.0,0.0,0.0,0.7391952309985097,0.20889632107023412,0.0945244505402508,0.08727272727272724
9,0.22679045092838196,0.0,0.0,0.0,0.0,0.8561565017261219,0.20635654816968416,0.12345100812775855,0.18545454545454537
10,0.2716133424098026,0.0,0.0,0.0,0.0,0.768595041322314,0.18511603094158444,0.13085461033737578,0.16872727272727273
11,0.1686390532544379,0.0,0.0,0.0,0.0,0.5000840194925222,0.14277876834453437,0.10209158336043592,0.1709090909090909
12,0.04567307692307692,0.0,0.0,0.0,0.0,0.25379498550230256,0.0,0.029242337316424227,0.05745454545454545
13,0.19400953029271614,0.0,0.0,0.0,0.0,0.768595041322314,0.18511603094158444,0.12358178814716299,0.2894545454545454
14,0.12067748764996472,0.0,0.0,0.0,0.0,0.6503496503496503,0.16398865784499056,0.08006137552161728,0.17890909090909088
15,0.13560666137985727,0.0,0.0,0.0,0.0,0.2849846782431052,0.14600280504908839,0.04385371861424046,0.14618181818181816
16,0.2128454070201643,0.0,0.0,0.0,0.0,0.46969696969696967,0.2148458998348927,0.10212817887703696,0.18690909090909086
17,0.4215976331360947,0.0,0.0,0.0,0.0,0.5000840194925222,0.1665752297352901,0.10209158336043592,0.20363636363636353
18,0.17027632561613143,0.0,0.0,0.0,0.0,0.46969696969696967,0.07161529994496424,0.051048156805308324,0.1541818181818181
19,0.2068214804063861,0.0,0.0,0.0,0.0,0.5605223505775991,0.1418836036527191,0.10930829748718639,0.2174545454545454
20,0.1686390532544379,0.0,0.0,0.0,0.0,0.5000840194925222,0.23796461390755727,0.0875021707421555,0.12290909090909091
21,0.2630769230769231,0.0,0.0,0.0,0.0,0.37785678009141693,0.21690512571190443,0.0803246877014581,0.19199999999999998
22,0.28989192625556265,0.0,0.0,0.0,0.0,1.0,0.06775579276230148,0.19576841690746652,0.21236363636363634
23,0.2170601675552171,0.0,0.0,0.0,0.0,0.4085839810746874,0.072071448352257,0.08029535246083624,0.168
24,0.19930069930069932,0.0,0.0,0.0,0.0,0.680073126142596,0.23354421860277294,0.13099293228093337,0.1818181818181818
25,0.22144522144522144,0.0,0.0,0.0,0.0,0.34701492537313433,0.16924470457079155,0.07304712143499453,0.15127272727272723
26,0.32180663373323926,0.0,0.0,0.0,0.0,0.6503496503496503,0.11713475560356468,0.13103910115394993,0.2574545454545454
27,0.34018567639257297,0.0,0.0,0.0,0.0,0.8561565017261219,0.4127130963393683,0.17430990456281306,0.309090909090909
28,0.13846153846153847,0.0,0.0,0.0,0.0,0.22248803827751193,0.0979672501411632,0.03657132387552264,0.07054545454545454
29,0.1277072442120986,0.0,0.0,0.0,0.0,0.46969696969696967,0.11935883324160705,0.08753388685654306,0.11418181818181816
30,0.43451143451143454,0.0,0.0,0.0,0.0,0.7096881220968811,0.3492351046698873,0.1309467942076987,0.3389090909090909
31,0.17896389324960754,0.0,0.0,0.0,0.0,0.3160577740016992,0.14553334265343215,0.06576467907723015,0.1178181818181818
32,0.3758241758241758,0.0,0.0,0.0,0.0,0.5303589399530358,0.18977303800929726,0.10934728054492832,0.2014545454545454
33,0.3050167224080268,0.0,0.0,0.0,0.0,0.8270750988142292,0.36797454931071055,0.18890636427537674,0.2545454545454545
34,0.2923076923076923,0.0,0.0,0.0,0.0,0.3119758470311976,0.16605140825813508,0.11663954878377805,0.24436363636363637
35,0.08597285067873303,0.0,0.0,0.0,0.0,0.3764547141170517,0.07184265010351967,0.09486521153662723,0.15490909090909089
36,0.39461538461538465,0.0,0.0,0.0,0.0,0.2519045200609446,0.16870398666481456,0.0803246877014581,0.13527272727272724
37,0.31888111888111886,0.0,0.0,0.0,0.0,0.5873358816686056,0.16348095302194104,0.15283323915844926,0.2276363636363636
38,0.17896389324960754,0.0,0.0,0.0,0.0,0.22124044180118946,0.07276667132671608,0.06576467907723015,0.1389090909090909
39,0.2529585798816568,0.0,0.0,0.0,0.0,0.3125525121828264,0.09518584556302291,0.10938628966957613,0.15999999999999995
40,0.2923076923076923,0.0,0.0,0.0,0.0,0.3119758470311976,0.18977303800929726,0.11663954878377805,0.26472727272727264
41,0.13560666137985727,0.0,0.0,0.0,0.0,0.18998978549540346,0.07300140252454419,0.058477355725928375,0.10181818181818181
42,0.0405982905982906,0.0,0.0,0.0,0.0,0.4964136780650542,0.02349993227685223,0.1383702646541399,0.09890909090909088
43,0.12527472527472527,0.0,0.0,0.0,0.0,0.46796377054679633,0.11860814875581079,0.11663954878377805,0.23272727272727264
