is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.2266828872668289	0.5555555555555556	0.0	0.0	0.0	0.0	0.0	0.21723363174953078	0.04338612907220335	0.18901132537496174	0.49641772920461447	0.0	0.0	0.0	0.0
0.0	0.1701156421180767	0.0	0.0	0.0	0.0	0.0	0.0	0.1629484590123495	0.028924811505709785	0.1513654295453675	0.3525370804059328	1.0	1.0	0.75	1.0
0.0	1.0	0.22222222222222224	0.0	0.28888888888888886	0.35555555555555557	0.0	0.0	1.0	0.2527721188684644	0.9504569504569504	0.4409352812163117	0.7333333333333333	0.425	1.0	1.0
0.0	0.3113102470635885	0.0	0.0	0.0	0.0	0.0	0.0	0.2714646221417426	0.0578439098869027	0.0	0.18871620183095592	1.0	1.0	0.75	1.0
0.0	0.5060350030175016	0.0	0.7916666666666666	0.0	0.0	1.0	0.0	0.32524753617836455	0.12286722048852297	0.26110922339260767	0.2496345184869775	1.0	1.0	0.75	1.0
0.0	0.25501824817518254	0.2777777777777778	0.0	0.36111111111111105	0.4444444444444444	0.0	0.0	0.21723363174953078	0.05784880714047185	0.22681359044995408	0.5567872321970682	0.7333333333333333	0.425	1.0	1.0
0.0	0.4227162734422263	0.15873015873015872	0.0	0.0	0.0	0.0	0.0	0.21695520641689825	0.1012001216142306	0.22472421244171498	0.3263769624425362	0.7333333333333333	0.425	1.0	1.0
0.0	0.31017958030669895	0.5	0.0	0.0	0.0	0.0	0.0	0.18986284390073022	0.07228754848370729	0.2624468731026108	0.5320475731276115	0.7333333333333333	0.425	1.0	1.0
0.0	0.5060350030175016	0.26666666666666666	0.0	0.0	0.0	0.0	0.0	0.32524753617836455	0.12286722048852297	0.2984105410201231	0.4142786175573061	0.7333333333333333	0.425	1.0	1.0
0.0	0.2266828872668289	0.0	0.0	0.0	0.0	0.0	0.0	0.1629252238121481	0.036154790038069096	0.18901132537496174	0.25896435076762947	1.0	1.0	0.75	1.0
0.0	0.11334144363341445	0.2777777777777778	0.0	0.0	0.0	0.0	0.0	0.21723363174953078	0.028923451003934852	0.11340679522497704	0.2348165495706479	0.7333333333333333	0.425	1.0	1.0
0.0	0.0555887032617343	0.07575757575757576	0.0	0.0	0.0	0.0	0.0	0.5946789941112155	0.10832903777407214	0.10977777777777778	0.12836008453761344	1.0	1.0	0.75	1.0
0.0	0.2809609971853639	0.25641025641025644	0.0	0.0	0.0	0.6410256410256411	0.0	0.6233023973169127	0.09395220072599433	0.260843328053104	0.4159250585480093	0.7333333333333333	0.425	1.0	1.0
0.0	0.11320372620494128	0.23809523809523808	0.0	0.0	0.0	0.0	0.0	0.2714646221417426	0.04338232009720512	0.11317296678121419	0.24963451848697757	0.7333333333333333	0.425	1.0	1.0
0.0	0.3377643504531722	0.0	0.0	0.0	0.0	0.36231884057971014	0.0	0.4608985409099305	0.11564865961215487	0.2242651231415276	0.29186572989851667	1.0	1.0	0.75	1.0
0.0	0.16918886198547217	0.33333333333333337	0.0	0.0	0.0	0.0	0.0	0.37972568780146043	0.08674587442015158	0.18746205221615056	0.42338246774119476	0.7333333333333333	0.425	1.0	1.0
0.0	0.3650291340164758	0.24691358024691357	0.0	0.0	0.0	0.0	0.0	0.5961174606592933	0.13008469554045118	0.3722542481443804	0.28537600832682797	0.7333333333333333	0.425	1.0	1.0
0.0	0.1134104280787178	0.0	0.0	0.0	0.0	0.0	0.0	0.19010653551440776	0.03615642264019902	0.11352407215902562	0.33442622950819667	1.0	1.0	0.75	1.0
0.0	0.02816404675534059	0.0	0.0	0.0	0.0	0.0	0.0	0.3253864714778854	0.05782432824051803	0.03741573884723169	0.046082419162660815	1.0	1.0	0.75	1.0
0.0	0.11347949654892407	0.0	0.0	0.0	0.0	0.0	0.0	0.16297170084076373	0.028926172109874318	0.11364159190246145	0.08992974238875884	1.0	1.0	0.75	1.0
0.0	0.16959951456310682	0.0	0.0	0.0	0.0	0.0	0.0	0.2985259736007919	0.05783901337028905	0.11294010059442157	0.15680057647270765	1.0	1.0	0.75	1.0
0.0	0.1414187411455171	0.22222222222222224	0.0	0.0	0.35555555555555557	0.0	0.0	0.29856852291287866	0.06507198439240053	0.2261128275546401	0.3117876658860266	0.7333333333333333	0.425	1.0	1.0
0.0	0.11327254305977712	0.0	0.0	0.6666666666666666	0.8205128205128206	0.0	0.0	0.24435299285598688	0.043384224513047694	0.1510530137981118	0.20583918813427013	1.0	1.0	0.75	1.0
0.0	0.14167680454176806	0.8333333333333334	0.0	0.0	0.0	0.0	0.0	0.21723363174953078	0.036154790038069096	0.18901132537496174	0.6131321016566917	0.0	0.0	0.0	0.0
0.0	0.2522563176895307	0.22222222222222224	0.0	0.28888888888888886	0.5333333333333333	0.0	0.0	0.5687784214309602	0.10838987146262906	0.3340094658553076	0.4394020874895191	0.7333333333333333	0.425	1.0	1.0
0.0	0.05687830687830688	0.0	0.0	0.0	0.0	0.0	0.0	0.05435491149776864	0.007232699720222015	0.07607607607607608	0.13822534478272186	1.0	1.0	0.75	1.0
0.0	0.16857659831121835	0.25641025641025644	0.0	0.0	0.0	0.0	0.0	0.43360166769872194	0.08672466894794215	0.1863166628950743	0.5190781658351152	0.7333333333333333	0.425	1.0	1.0
0.0	0.08479975728155341	0.0	0.0	0.0	0.0	0.0	0.0	0.24424852385519338	0.04337851169539451	0.11294010059442157	0.34069537020356694	1.0	1.0	0.75	1.0
