is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.2863993025283348	0.0	0.75	0.0	0.0	0.25	0.1319752863862076	0.09223715461415327	0.21365286855482932	0.5543797016447787	0.14814814814814814	0.0	1.0	0.0
0.0	0.3494342906875544	0.7333333333333333	0.65625	0.0	0.0	0.0	0.16126260447216412	0.1024762207651949	0.24382057391484513	0.5057719279318157	0.14814814814814814	0.0	1.0	0.0
0.0	0.2550218340611354	0.0	0.5833333333333334	0.6363636363636365	0.0	0.2884615384615385	0.10267324550618996	0.07174666498783955	0.21396363636363638	0.6881720430107526	0.14814814814814814	0.0	1.0	0.0
0.0	0.44242424242424244	0.0	0.0	0.3333333333333333	0.5	0.0	0.2050887446950555	0.14342679622968954	0.3641464672511604	0.4054034103491547	0.0	0.0	0.0	0.0
0.0	0.5056277056277056	0.0	0.31818181818181823	0.0	0.0	0.0	0.21973794074470232	0.15367156738895307	0.4248375451263538	0.6862035875101499	1.0	0.35353535353535354	1.0	1.0
0.0	0.3494342906875544	0.0	0.21875	0.0	0.0	0.0	0.13194213093177062	0.1024762207651949	0.3047757173935564	0.4941201855647858	1.0	0.35353535353535354	1.0	1.0
0.0	0.22275501307759374	0.0	0.0	0.0	0.0	1.0	0.11731136567662895	0.07174000914434144	0.15260919182487812	0.21012367716435038	1.0	1.0	0.0	0.5
0.0	0.5683391003460208	0.0	0.30434782608695654	0.0	0.0	0.0	0.2636524358302776	0.17415303473021254	0.33356009070294784	0.5186535764375876	1.0	0.35353535353535354	1.0	1.0
0.0	0.12695652173913044	0.0	0.2058823529411765	0.0	0.0	0.20833333333333331	0.1905591414290343	0.08197717450768453	0.0913664596273292	0.1350430775395712	1.0	0.35353535353535354	1.0	1.0
0.0	0.22256097560975613	0.0	0.4666666666666667	0.0	0.0	0.0	0.1759449421018134	0.11272907122032487	0.15249844495127515	0.506311360448808	1.0	0.35353535353535354	1.0	1.0
0.0	0.22294938917975568	0.0	0.5384615384615385	0.0	0.0	0.26785714285714285	0.14665763373653712	0.10249048130245697	0.24435215946843852	0.7248246844319775	0.14814814814814814	0.0	1.0	0.0
0.0	0.09596844872918493	0.0	0.0	0.0	0.0	0.0	0.07337491822427777	0.0512571288432786	0.09196623944982807	0.33099579242636745	1.0	1.0	0.0	0.5
0.0	0.06375545851528384	0.0	0.0	0.0	0.0	0.0	0.13200845850795853	0.06149714141814818	0.09169870129870131	0.24123422159887795	1.0	1.0	0.0	0.5
0.0	0.06364428945074108	0.0	0.0	0.0	0.0	0.0	0.1613031278053648	0.07174000914434144	0.09156551509492687	0.1489226061456075	1.0	1.0	0.0	0.5
0.0	0.03198948290972831	0.0	0.0	0.0	0.0	0.0	0.07337491822427777	0.041005703074622875	0.09196623944982807	0.06171107994389901	1.0	1.0	0.0	0.5
0.0	0.09521739130434784	0.0	0.2058823529411765	0.0	0.0	0.0	0.20521753692357536	0.08197717450768453	0.0913664596273292	0.09296734121418551	1.0	0.35353535353535354	1.0	1.0
0.0	0.03193350831146107	0.0	0.0	0.0	0.0	0.0	0.10269905901857367	0.020500949161849847	0.0	0.040072129833700655	1.0	1.0	0.0	0.5
0.0	0.15952797202797206	0.0	0.9545454545454545	0.0	0.0	0.0	0.10268615064011483	0.07174999337274342	0.1529423996672905	0.5750350631136044	0.14814814814814814	0.0	1.0	0.0
0.0	0.031492666091458156	0.0	0.13461538461538464	0.0	0.0	0.0	0.234269516853667	0.07170010000198679	0.06051630155301861	0.09683517287639491	1.0	1.0	0.0	0.5
0.0	0.12695652173913044	0.0	0.411764705882353	0.0	0.0	0.0	0.146583954945411	0.0922243213211451	0.1827329192546584	0.2083750751352435	1.0	0.35353535353535354	1.0	1.0
0.0	0.22082973206568712	0.0	0.4375	0.0	0.0	0.0	0.2196827925603016	0.08195056964786007	0.18181069111134	0.20997796032859153	1.0	0.35353535353535354	1.0	1.0
0.0	0.4111785095320624	0.0	0.5	0.0	0.0	0.0	0.2637186302655853	0.1741691854336096	0.3644095788604459	0.8031790556334735	1.0	0.35353535353535354	1.0	1.0
0.0	0.22217391304347828	0.0	0.0	0.0	0.0	0.0	0.20521753692357536	0.13321290857498735	0.21318840579710144	0.4512121819274694	1.0	1.0	0.0	0.5
0.0	0.1906005221932115	0.0	0.4375	0.0	0.0	0.0	0.17592284124236085	0.09222859868867542	0.18286543043613385	0.5459057071960298	1.0	0.35353535353535354	1.0	1.0
0.0	0.22198088618592532	0.0	0.3888888888888889	0.0	0.0	0.0	0.2051917655388054	0.11271338753931288	0.15216716664942587	0.3208976157082749	1.0	0.35353535353535354	1.0	1.0
0.0	0.06331309627059845	0.5789473684210525	0.17500000000000002	0.0	0.0	0.0	0.19048736774111374	0.10245721288747356	0.1215576903212478	0.07953139179935648	1.0	1.0	0.0	0.5
0.0	0.1907665505226481	0.39285714285714285	0.7000000000000001	0.0	0.0	0.234375	0.16128286359332897	0.10248097383665897	0.21349782293178518	0.45021037868162694	0.14814814814814814	0.0	1.0	0.0
0.0	0.12784588441331	0.0	0.7777777777777778	0.0	0.0	0.0	0.0880388319795345	0.061505700916350575	0.09189920866305706	0.9396914446002804	0.14814814814814814	0.0	1.0	0.0
0.0	0.19010416666666666	0.611111111111111	0.3684210526315789	0.0	0.0	0.0	0.20516600062600543	0.1332005534545482	0.21287988422575976	0.4004207573632538	1.0	0.35353535353535354	1.0	1.0
