is_a_highlight	abstract	keyword1	keyword2	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.23094654948854632	1.0	0.0	0.058925924905065916	0.010219825146235612	0.1313578564940963	0.29952462568314836	0.21428571428571427	0.0	1.0	1.0
0.0	0.39465747522619565	0.21875	1.0	0.058898701100535966	0.01635069182389937	0.07867180417044424	0.07508973902920153	0.35714285714285715	0.3835616438356164	1.0	1.0
0.0	0.13281136726112802	0.35000000000000003	0.0	0.03932029872221762	0.008176888721142354	0.10546946216955332	0.3824014487598225	0.35714285714285715	0.410958904109589	0.5	1.0
0.0	0.1988998262883613	0.6363636363636365	0.0	0.0589668078316883	0.00817663154584054	0.15806010928961747	0.3617418380216296	0.21428571428571427	0.0	1.0	1.0
0.0	0.16627940749346498	0.0	0.0	0.03932939643131578	0.010221432390777843	0.10556569343065693	0.06924942599359697	1.0	1.0	0.5	0.3333333333333333
0.0	0.4894556853804503	0.16666666666666666	0.0	0.14707687878646758	0.02043515170570665	0.3915839350180505	0.21471739101487367	0.35714285714285715	0.3835616438356164	1.0	1.0
0.0	0.09819897084048027	0.18421052631578946	0.0	0.13733512922818877	0.012261862088482218	0.18306962025316453	0.03087022604533841	0.35714285714285715	0.3835616438356164	1.0	1.0
0.0	0.03309726839138604	0.0	0.0	0.06877870286896114	0.010220467983394137	0.02631938125568699	0.07091808686091255	1.0	1.0	0.5	0.3333333333333333
0.0	0.13281136726112802	0.0	0.0	0.058980448083326434	0.008176888721142354	0.02636736554238833	0.06674643469262358	1.0	1.0	0.5	0.3333333333333333
0.0	0.06608946608946609	0.0	0.0	0.058939546246930236	0.006132087932823852	0.052590909090909084	0.03383673425389945	1.0	1.0	0.5	0.3333333333333333
0.0	0.06588032220943613	0.0	0.0	0.0981871830962031	0.008175603006383848	0.052495462794918325	0.052714513762924325	1.0	1.0	0.5	0.3333333333333333
0.0	0.0	0.0	0.0	0.049150373402772035	0.0020442221802855886	0.02636736554238833	0.008343304336577947	1.0	1.0	0.5	0.3333333333333333
0.0	0.0	0.0	0.0	0.058980448083326434	0.006132666540856765	0.02636736554238833	0.051450376742230665	1.0	1.0	0.5	0.3333333333333333
0.0	0.03237664357415524	0.0	0.0	0.1273197434829401	0.0061295818924866395	0.025988319856244384	0.007964063230369862	1.0	1.0	0.5	0.3333333333333333
0.0	0.0	0.0	0.0	0.13714517745885518	0.01838932377628973	0.052023381294964026	0.024831262906481973	1.0	1.0	0.5	0.3333333333333333
0.0	0.06546598056032019	0.0	0.0	0.127525477140461	0.012261862088482218	0.02615280289330922	0.032538886912654	1.0	1.0	0.5	0.3333333333333333
0.0	0.1565276828434723	0.14583333333333334	0.30434782608695654	0.2533549034498863	0.026543164111585825	0.17839207048458147	0.03413169955872798	0.35714285714285715	0.3835616438356164	1.0	1.0
0.0	0.16238831371436677	0.5833333333333334	0.0	0.1469751424165438	0.02043322434607646	0.10414041404140413	0.17604372150179468	0.21428571428571427	0.0	1.0	1.0
0.0	0.0	0.4375	0.0	0.029503873763506154	0.0	0.0	0.4484526080910646	0.35714285714285715	0.410958904109589	0.5	1.0
0.0	0.19547588561673068	0.47727272727272724	0.0	0.16664867781975176	0.03065176381814752	0.18257439134355274	0.19560413500199408	0.35714285714285715	0.410958904109589	0.5	1.0
0.0	0.0	0.14583333333333334	0.0	0.10778177110546545	0.01021661217303823	0.052070207020702065	0.11472043462794676	0.35714285714285715	0.3835616438356164	1.0	1.0
0.0	0.0	0.11666666666666667	0.0	0.07827844871109683	0.006128811215188282	0.0	0.11520177910890325	0.35714285714285715	0.3835616438356164	1.0	1.0
0.0	0.20788483983919076	0.041666666666666664	0.0	0.4928965328737484	0.03875003137944019	0.19760888129803586	0.037753452123015216	1.0	1.0	0.5	0.3333333333333333
0.0	0.13281136726112802	0.35000000000000003	0.0	0.03932029872221762	0.008176888721142354	0.10546946216955332	0.3824014487598225	0.35714285714285715	0.410958904109589	0.5	1.0
0.0	0.1988998262883613	0.6363636363636365	0.0	0.0589668078316883	0.00817663154584054	0.15806010928961747	0.3617418380216296	0.21428571428571427	0.0	1.0	1.0
0.0	0.25504663789502996	0.2916666666666667	0.411764705882353	0.17588352062374352	0.02042551854179761	0.28332591273374885	0.07769702163438212	0.35714285714285715	0.410958904109589	0.5	1.0
0.0	0.19921705089169203	0.0	0.0	0.058980448083326434	0.008176888721142354	0.15820419325433	0.12932121721695822	1.0	1.0	0.5	0.3333333333333333
0.0	0.2964614499424626	0.23333333333333334	0.0	0.08836846478658278	0.012263404509575773	0.23622958257713245	0.261297122177373	0.35714285714285715	0.3835616438356164	1.0	1.0
0.0	0.033362470862470864	0.0	0.0	0.029510703363914374	0.004088830172061275	0.052879341864716635	0.06257478252433461	1.0	1.0	0.5	0.3333333333333333
0.0	0.0	0.31818181818181823	0.0	0.04913900652640691	0.00817663154584054	0.02634335154826958	0.32121721695825095	0.35714285714285715	0.410958904109589	0.5	1.0
0.0	0.06640568363056401	0.7000000000000001	0.0	0.03932029872221762	0.006132666540856765	0.05273473108477666	0.44497623128415725	0.21428571428571427	0.0	1.0	1.0
0.0	0.066511762997386	0.0	0.0	0.03932939643131578	0.008177145912622275	0.052782846715328464	0.08927335640138404	1.0	1.0	0.5	0.3333333333333333
0.0	0.0	0.0	0.0	0.029503873763506154	0.0040887015601409156	0.0	0.0479739999353232	1.0	1.0	0.5	0.3333333333333333
