is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	1.0	0.0	0.3333333333333333	0.0	0.125	0.375	0.25	0.0	0.6216084392014519	0.2293947744183721	0.6008631541089733	0.5107323232323232	0.25	0.1870967741935484	0.6666666666666666	0.19230769230769232
0.0	0.575617053103964	0.7777777777777778	0.0	0.0	0.0	0.0	0.0	0.2941176470588235	0.4494568951322132	0.14491367085009652	0.3676569439443045	0.3842592592592593	0.0	0.025806451612903226	0.3333333333333333	0.0
0.0	0.57501494321578	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3802470677733244	0.12075674804615791	0.23392139213921395	0.30700231481481477	1.0	1.0	1.0	1.0
0.0	0.38657825999598144	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.24229453028184225	0.08455324256693104	0.26772429541493903	0.3663194444444445	1.0	1.0	1.0	1.0
0.0	0.6722571628232006	0.0	0.0	0.0	0.375	0.0	0.375	0.0	0.4149516151015401	0.15699537717937911	0.33429377513656283	0.5023148148148148	0.25	0.1870967741935484	0.6666666666666666	0.19230769230769232
0.0	0.48169846277101797	0.0	0.0	0.75	0.0	0.0	0.0	0.0	0.3113675490480168	0.07246618882853292	0.23413213213213213	0.29082491582491576	1.0	1.0	1.0	1.0
0.0	0.14511992759088851	0.0	0.8888888888888888	0.0	0.0	0.0	0.3333333333333333	0.0	0.20771526849930355	0.06039746471928073	0.13388628440918382	0.2956349206349206	0.25	0.1870967741935484	0.6666666666666666	0.19230769230769232
0.0	0.04832228249949768	0.0	0.0	0.0	0.0	0.0	0.30000000000000004	0.0	0.24229453028184225	0.04831613860967489	0.13386214770746951	0.20717592592592593	0.25	0.1870967741935484	0.6666666666666666	0.19230769230769232
0.0	0.09613751061809823	0.0	0.0	0.0	0.0	0.0	0.4	0.0	0.449604961972975	0.12076934548398101	0.16717699327569643	0.2343304843304843	0.25	0.1870967741935484	0.6666666666666666	0.19230769230769232
0.0	0.04842444377328098	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.1731246019470476	0.03624015933010909	0.06695521490832582	0.18209876543209874	0.1	0.0	0.0	0.038461538461538464
0.0	0.23958955967324166	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.0	0.41481498302544484	0.10868076780083277	0.26733873387338736	0.14351851851851852	0.25	0.13548387096774195	0.0	0.19230769230769232
0.0	0.09593617551732736	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5186041097679384	0.07245549907970487	0.2673868683231305	0.0447530864197531	1.0	1.0	1.0	1.0
0.0	0.33368019424210893	0.0	0.0	0.0	0.0	0.0	0.2608695652173913	0.0	0.4490132791804459	0.13280982964997118	0.3004856115107914	0.17989417989417988	0.25	0.1870967741935484	0.6666666666666666	0.19230769230769232
0.0	0.0957356819425785	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5529956009649496	0.16905494364331033	0.5011699064074874	0.13943355119825704	1.0	1.0	1.0	1.0
0.0	0.19328912999799072	0.0	0.8	0.0	0.0	0.0	0.0	0.0	0.2769080346078197	0.06039517326209361	0.13386214770746951	0.2650462962962963	0.1	0.0	0.0	0.038461538461538464
0.0	0.2896281800391389	0.0	0.0	0.0	0.5454545454545455	0.0	0.5454545454545455	0.0	0.3114701920508346	0.08455018748387004	0.2676760394136025	0.4521604938271605	0.25	0.1870967741935484	0.6666666666666666	0.19230769230769232
0.0	0.19207347509234302	0.0	0.0	0.0	0.1875	0.0	0.0	0.0	0.48411021761846346	0.15699537717937911	0.33429377513656283	0.24107142857142863	0.25	0.13548387096774195	0.0	0.19230769230769232
0.0	0.09593617551732736	0.0	0.0	0.0	0.0	0.2647058823529412	0.0	0.0	0.5186041097679384	0.1086845849649007	0.10027007562117393	0.09259259259259256	1.0	1.0	1.0	1.0
0.0	0.4717767642587416	0.0	0.0	0.0	0.0	0.0	0.18181818181818182	0.0	1.0	0.2413963706126004	0.5332375822860563	0.20773596176821982	1.0	1.0	1.0	1.0
0.0	0.04822055137844611	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3114188620916964	0.060390590782379745	0.1003604253018562	0.09259259259259259	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17306752162988734	0.0	0.10039661078060214	0.04224537037037038	1.0	1.0	1.0	1.0
0.0	0.04796808775866368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34573607317862554	0.08453186104143681	0.16711679270195656	0.07253086419753085	1.0	1.0	1.0	1.0
0.0	0.143753735803945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4839508135296856	0.10868076780083277	0.23392139213921395	0.0986689814814815	1.0	1.0	1.0	1.0
0.0	0.23884006157207405	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5873644550112634	0.12074415299722949	0.2003958258366319	0.19712475633528267	1.0	1.0	1.0	1.0
0.0	0.9425827944346462	0.0	0.23529411764705882	0.27272727272727276	0.08823529411764706	0.2647058823529412	0.17647058823529413	0.0	0.9998357963875206	0.3258774951108848	0.6997486986178424	0.3858506944444444	0.25	0.13548387096774195	0.0	0.19230769230769232
0.0	0.23984043879331837	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34573607317862554	0.1086845849649007	0.23396350978273917	0.24845679012345692	1.0	1.0	1.0	1.0
