is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.9392754219843557	0.23529411764705882	0.0	0.0	0.0	0.34493965218896006	0.15884499359048965	0.47479745191415673	0.4875816993464052	0.11764705882352941	0.11016949152542373	0.14285714285714285	0.18181818181818182
0.0	0.8678571428571429	0.0	0.0	0.0	0.0	0.3136357736240914	0.13441084652891688	0.15835886011324607	0.4005602240896359	1.0	1.0	1.0	1.0
0.0	0.7253065160490426	0.0	0.7692307692307693	0.75	0.0	0.3137987012987013	0.1099822024208877	0.3701568408654144	0.40285204991087337	1.0	1.0	1.0	1.0
0.0	0.6540372670807454	0.0	0.0	0.0	0.0	0.1569537069114845	0.09776788123799794	0.3176514399205561	0.25490196078431365	1.0	1.0	1.0	1.0
0.0	0.7253065160490426	0.0	0.0	0.0	0.0	0.1882792207792208	0.09776169015382098	0.3172772921703552	0.4367201426024954	1.0	1.0	1.0	1.0
0.0	0.8670234664470975	0.0	0.0	0.0	0.823529411764706	0.2822233517909673	0.13440672018473693	0.4220421794792504	0.35686274509803917	1.0	1.0	1.0	1.0
0.0	0.3637054434926776	0.0	0.0	0.0	0.0	0.0941885395010395	0.048884800467580244	0.15891942244993013	0.28186274509803916	1.0	1.0	1.0	1.0
0.0	0.5808052950910094	0.0	0.0	0.0	0.0	0.21969713370280566	0.08554392940227976	0.31746425580746207	0.192156862745098	1.0	1.0	1.0	1.0
0.0	0.3633540372670807	0.0	0.0	0.0	0.0	0.28251667244067213	0.09776788123799794	0.2647095332671301	0.48148148148148145	1.0	1.0	1.0	1.0
0.0	0.5758031442241969	0.0	0.0	0.0	0.0	0.5640562856648799	0.1832612629233953	0.368421052631579	0.34984520123839	1.0	1.0	1.0	1.0
0.0	0.6471592461076209	0.0	0.0	0.0	0.0	0.5326277230290457	0.19547318036213485	0.2630037307680449	0.32450980392156864	1.0	1.0	1.0	1.0
0.0	0.5774609267891417	0.2222222222222222	0.0	0.0	0.0	0.501643598615917	0.17105897265342615	0.3163457675309825	0.48161764705882354	0.11764705882352941	0.11016949152542373	0.14285714285714285	0.18181818181818182
0.0	0.07295275045032562	0.0	0.0	0.0	0.0	0.15706253250130006	0.048889960720976414	0.10613412965036705	0.12941176470588228	1.0	1.0	1.0	1.0
0.0	0.9215699474888919	0.10810810810810811	0.0	0.0	0.0	1.0	0.3541449854820924	0.7299957210098417	0.32156862745098036	1.0	1.0	1.0	1.0
0.0	0.2827604726100967	0.0	0.125	0.0	0.0	0.6871445191313341	0.2075792776107189	0.468466819221968	0.10990712074303396	1.0	1.0	1.0	1.0
0.0	0.21696428571428572	0.0	0.625	0.0	0.0	0.43909008307372793	0.09775240483424277	0.15835886011324607	0.11624649859943977	1.0	1.0	1.0	1.0
0.0	0.21387948544346647	0.0	0.0	0.0	0.0	0.5630825996892802	0.17099194973900303	0.10464973622868359	0.0845165652467884	1.0	1.0	1.0	1.0
0.0	0.07232142857142858	0.25	0.0	0.0	0.0	0.4077265057113188	0.10997188539913415	0.31671772022649214	0.11344537815126049	0.11764705882352941	0.11016949152542373	0.14285714285714285	0.18181818181818182
0.0	0.07295275045032562	0.0	0.0	0.0	0.0	0.15706253250130006	0.03666738452682524	0.05306706482518352	0.1333333333333333	1.0	1.0	1.0	1.0
0.0	0.2912460240630618	0.0	0.0	0.0	0.0	0.18840972101888753	0.0611084085962149	0.10600882371217298	0.361344537815126	1.0	1.0	1.0	1.0
0.0	0.290964354794142	0.0	0.0	0.0	0.0	0.21977325883575882	0.07332788875452412	0.15891942244993013	0.19117647058823525	1.0	1.0	1.0	1.0
0.0	0.21738232865400495	0.0	0.0	0.0	0.0	0.34511881059556787	0.12219893156705446	0.21139369907995412	0.16830065359477114	1.0	1.0	1.0	1.0
0.0	0.1456230120315309	0.0	0.0	0.0	0.0	0.21981134118870213	0.03666463231421679	0.15901323556825947	0.07563025210084033	1.0	1.0	1.0	1.0
0.0	0.1449215524360033	0.0	0.0	0.0	0.0	0.34511881059556787	0.07331825817911486	0.21139369907995412	0.09313725490196074	1.0	1.0	1.0	1.0
0.0	0.14436523169728543	0.0	0.0	0.0	0.0	0.2821745242214533	0.0610898369115028	0.15817288376549124	0.12622549019607843	1.0	1.0	1.0	1.0
0.0	0.21696428571428572	0.25	0.0	0.0	0.0	0.43909008307372793	0.13441084652891688	0.15835886011324607	0.23249299719887953	0.11764705882352941	0.11016949152542373	0.14285714285714285	0.18181818181818182
0.0	0.43185235816814765	0.0	0.0	0.0	0.0	0.5013833650354488	0.13439021713010163	0.15789473684210525	0.24561403508771923	1.0	1.0	1.0	1.0
0.0	0.07253065160490427	0.0	0.0	0.0	0.0	0.25103896103896106	0.036659128818487416	0.1586386460851776	0.15864527629233505	1.0	1.0	1.0	1.0
0.0	0.07267080745341614	0.0	0.0	0.0	0.0	0.2511259310583752	0.04888308057676355	0.0	0.08932461873638341	1.0	1.0	1.0	1.0
0.0	0.2881773399014778	0.0	0.0	0.0	0.0	0.3134187997232792	0.07330381638079264	0.21064979163451147	0.16557734204793023	1.0	1.0	1.0	1.0
0.0	0.29068322981366457	0.0	0.0	0.0	0.0	0.2511259310583752	0.09776788123799794	0.10588381330685202	0.30718954248366015	1.0	1.0	1.0	1.0
0.0	0.29012260641961707	0.0	0.0	0.75	0.0	0.21965909090909091	0.07332066561968756	0.264397743475296	0.36898395721925126	1.0	1.0	1.0	1.0
