is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.24184296175752643	0.8333333333333333	0.0	0.0	0.0	0.0	0.0	0.1110481049147994	0.03957434937633323	0.07546354755100684	0.07259259259259258	1.0	1.0	1.0	1.0
0.0	0.3481954582319546	0.625	0.0	0.0	0.0	0.0	0.0	0.20350328432905848	0.07122579922314141	0.2512029201924672	0.12380952380952377	1.0	1.0	1.0	1.0
0.0	0.29534552845528456	0.0	0.0	0.0	0.0	0.0	0.0	0.20356695869837296	0.07123296883580073	0.22631356037768752	0.3279461279461279	1.0	1.0	1.0	1.0
0.0	0.42750809061488676	0.0	0.27777777777777773	0.4	0.5263157894736842	0.0	0.5	0.24042867701404286	0.12661368808226658	0.27604153717378155	0.4919389978213507	0.0	0.08673469387755102	0.25	0.0
0.0	0.37467585089141003	0.0	0.3125	0.6666666666666666	0.0	0.588235294117647	0.37037037037037035	0.2219804382439912	0.10287963951812569	0.2762292566822302	0.4982716049382715	0.0	0.08673469387755102	0.25	0.0
0.0	0.1616231647634584	0.0	0.625	0.0	0.0	0.0	0.0	0.12959667627864624	0.04749462172251662	0.17626171488445194	0.5428571428571429	0.3181818181818182	0.11224489795918367	0.125	0.3333333333333333
0.0	0.21532192339038303	0.0	0.0	0.0	0.0	0.0	0.0	0.14809503485559825	0.05540867878761987	0.1510299765574343	0.4833333333333332	1.0	1.0	1.0	1.0
0.0	0.18840668296658517	0.0	0.0	0.0	0.0	0.0	0.0	0.11107127614169866	0.047492948307641045	0.12585831379786191	0.3074074074074074	1.0	1.0	1.0	1.0
0.0	0.2680600649350649	0.0	0.0	0.0	0.0	0.0	0.0	0.1850222769930799	0.07122818894970326	0.2261595531913128	0.34131054131054134	1.0	1.0	1.0	1.0
0.0	0.1345762021189894	0.0	0.0	0.0	0.0	0.0	0.0	0.11107127614169866	0.03957721782766223	0.12585831379786191	0.5166666666666667	1.0	1.0	1.0	1.0
0.0	0.21514657980456028	0.0	0.0	0.0	0.0	0.0	0.0	0.09254974109970981	0.05540676642898485	0.1258154319192255	0.14074074074074072	1.0	1.0	1.0	1.0
0.0	0.16031553398058251	0.5263157894736842	0.0	0.0	0.0	0.0	0.0	0.24042867701404286	0.06330505131310081	0.1254734259880825	0.05272331154684093	1.0	1.0	1.0	1.0
0.0	0.10766096169519151	1.0	0.0	0.0	0.0	0.0	0.0	0.14809503485559825	0.03957721782766223	0.07551498827871715	0.15555555555555556	1.0	1.0	1.0	1.0
0.0	0.10774877650897227	0.5555555555555555	0.0	0.0	0.0	0.0	0.0	0.12959667627864624	0.03166268264402311	0.05036048996698627	0.09841269841269841	1.0	1.0	1.0	1.0
0.0	0.16083603896103896	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.2035245046923879	0.04748458274912908	0.1005153569739168	0.052991452991453	1.0	1.0	1.0	1.0
0.0	0.10731112916328188	0.3571428571428571	0.0	0.0	0.0	0.0	0.0	0.16653741503048	0.03957148127146694	0.1256869614305401	0.06419753086419754	1.0	1.0	1.0	1.0
0.0	0.08067996742671009	0.0	0.0	0.0	0.0	0.0	0.0	0.12956963753959372	0.03957578355868597	0.0251630863838451	0.11275720164609052	1.0	1.0	1.0	1.0
0.0	0.08015776699029126	0.2631578947368421	0.0	0.0	0.0	0.0	0.0	0.3144067314799022	0.04747789212080938	0.05018937039523301	0.053594771241830076	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.12958315549864846	0.015830026387725783	0.0	0.018518518518518514	1.0	1.0	1.0	1.0
0.0	0.10687702265372169	0.0	0.0	0.0	0.0	0.0	0.0	0.22193416339757804	0.07913221050539226	0.10037874079046602	0.09891067538126358	1.0	1.0	1.0	1.0
0.0	0.13305801772763898	0.20833333333333331	0.0	0.0	0.0	0.0	0.0	0.27727320080690226	0.07911907177028833	0.17536486083992456	0.12861952861952866	1.0	1.0	1.0	1.0
0.0	0.18643145161290323	0.21739130434782608	0.0	0.0	0.0	0.0	0.0	0.3327625073405444	0.11077219529172094	0.25060623867182	0.1329805996472663	1.0	1.0	1.0	1.0
0.0	0.02695918367346939	0.0	0.0	0.0	0.0	0.0	0.0	0.09257871420033582	0.02374766939960759	0.07556649918477357	0.1382716049382716	1.0	1.0	1.0	1.0
0.0	0.16083603896103896	0.0	0.3571428571428571	0.0	0.0	0.0	0.0	0.14801782159446392	0.07122818894970326	0.15077303546087517	0.30826210826210815	0.3181818181818182	0.11224489795918367	0.125	0.3333333333333333
0.0	0.10722402597402599	0.0	0.3571428571428571	0.0	0.0	0.0	0.0	0.2220267323916959	0.07122818894970326	0.125644196217396	0.21937321937321944	0.3181818181818182	0.11224489795918367	0.125	0.3333333333333333
0.0	0.34622983870967744	0.0	0.22727272727272727	0.0	0.43478260869565216	0.0	0.0	0.3697361192672716	0.13451006736050725	0.4009699818749121	0.3749559082892415	0.22727272727272727	0.00510204081632653	0.0	0.3333333333333333
0.0	0.1079248366013072	0.7142857142857142	0.0	0.0	0.7142857142857142	0.0	0.0	0.0925883759321455	0.023748625752203534	0.10078970799943415	0.36	0.22727272727272727	0.00510204081632653	0.0	0.3333333333333333
0.0	0.10766096169519151	0.5	0.0	0.0	0.5	0.0	0.0	0.12958315549864846	0.03957721782766223	0.07551498827871715	0.2	0.22727272727272727	0.00510204081632653	0.0	0.3333333333333333
