is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.4103005310469635	0.20454545454545456	0.45454545454545453	0.22727272727272727	0.0	0.0	0.22429105525261928	0.16490690531332036	0.23623536333597744	0.2686005314437555	0.14285714285714285	0.018518518518518517	1.0	0.0
0.0	0.3569652296925024	0.3	0.0	0.16666666666666666	0.0	0.5	0.1683750443734469	0.06343837749342493	0.11830474586972536	0.3532738298017305	0.10714285714285714	0.22839506172839505	0.6666666666666666	0.4666666666666667
0.0	0.5458689796039193	0.1730769230769231	0.38461538461538464	0.09615384615384616	0.0	0.0	0.26153376558799923	0.20293744890561452	0.3776353702508227	0.3637068201948627	0.14285714285714285	0.018518518518518517	1.0	0.0
0.0	0.43837570390621516	0.0	0.0	0.0	0.0	0.0	0.2243805806871267	0.16492311101521961	0.21275600319609742	0.1807950815401448	1.0	1.0	1.0	1.0
0.0	0.49155127730470194	0.18000000000000002	0.0	0.19999999999999998	0.0	0.0	0.29893546830531675	0.21562844095955908	0.3068979998950076	0.19024146031501515	0.10714285714285714	0.22839506172839505	0.6666666666666666	0.4666666666666667
0.0	0.5197140059928205	0.4090909090909091	0.45454545454545453	0.11363636363636363	0.42857142857142855	0.0	0.3551275041499805	0.21564927306017592	0.3779765813375639	0.47187776793622666	0.14285714285714285	0.018518518518518517	1.0	0.0
0.0	1.0	0.10227272727272728	0.0	0.0	0.0	0.0	0.3727278531681131	0.45636167657050847	0.5876679891483322	0.29166139440718714	1.0	1.0	1.0	1.0
0.0	0.4655182655182655	0.0	0.0	0.0	0.0	0.0	0.22435073093580477	0.15223134517265108	0.28361056365786363	0.21331561854148218	1.0	1.0	1.0	1.0
0.0	0.08215028215028215	0.0	0.0	0.0	0.0	0.0	0.3178302021590568	0.17760407239931647	0.21270792274339773	0.12105107764983758	1.0	1.0	1.0	1.0
0.0	0.05497830980456463	0.0	0.0	0.0	0.0	0.0	0.20584652562016076	0.10151020518823331	0.11835830166233273	0.12239310733553425	1.0	1.0	1.0	1.0
0.0	0.1913685490207706	0.0	0.0	0.0	0.0	0.0	0.35508027974783296	0.10147547340179465	0.2125638116846285	0.12210552954574205	1.0	1.0	1.0	1.0
0.0	0.19022075510625128	0.0	0.0	0.0	0.0	0.0	0.5598341669248587	0.27897078669684844	0.4005144674319064	0.08732838795394143	1.0	1.0	1.0	1.0
0.0	0.21967091058000146	0.0	0.0	0.0	0.0	0.0	0.2432083974283122	0.1268798435718407	0.21294854256550563	0.2490290931389247	1.0	1.0	1.0	1.0
0.0	0.16457183655862795	0.0	0.0	0.0	0.0	0.0	0.2805503800313489	0.13955887385103183	0.1419014862263734	0.15854738706820198	1.0	1.0	1.0	1.0
0.0	0.08197012802275959	0.0	0.0	0.0	0.0	0.32	0.4110909207305963	0.21563538457073728	0.259741555393364	0.08676221918028827	1.0	1.0	1.0	1.0
0.0	0.10989600405256414	0.0	0.0	0.0	0.0	0.0	0.20581911961222304	0.11419541026526431	0.09466521416504839	0.24911426040744017	1.0	1.0	1.0	1.0
0.0	0.10965420866410965	0.0	0.0	0.0	0.0	0.42105263157894735	0.2805130479781178	0.1141799720377347	0.07093470179663387	0.046224534986713896	1.0	1.0	1.0	1.0
0.0	0.1643908889648307	0.0	0.0	0.13157894736842105	0.0	0.0	0.3178724893067628	0.1395496120415205	0.14183733546406493	0.13468452039806175	1.0	1.0	1.0	1.0
0.0	0.1643908889648307	0.0	0.0	0.0	0.0	0.0	0.3178724893067628	0.16492311101521961	0.1891164472854199	0.1432814046787891	1.0	1.0	1.0	1.0
0.0	0.16466245981664485	0.0	0.0	0.0	0.0	0.0	0.24317602575289252	0.10149978343362581	0.141933583373224	0.15025939516639247	1.0	1.0	1.0	1.0
0.0	0.45772190342692776	0.0	0.19607843137254902	0.0	0.0	0.3076923076923077	0.8937172466584231	0.38021542634462757	0.4928656423531377	0.08884510402921125	1.0	1.0	1.0	1.0
0.0	0.27338364145824373	0.0	0.43478260869565216	0.0	0.4090909090909091	1.0	0.3924571513002364	0.20295712247065573	0.4015094220709649	0.1765152473744147	0.14285714285714285	0.018518518518518517	1.0	0.0
0.0	0.08237659146750055	0.0	0.0	0.0	0.6428571428571429	0.0	0.2245000591645959	0.1268798435718407	0.1419656950436704	0.15193840703140965	1.0	1.0	1.0	1.0
0.0	0.027458863822500183	0.0	0.0	0.0	0.6428571428571429	0.5	0.13095836784601428	0.06343837749342493	0.0709828475218352	0.022143489813994707	1.0	1.0	1.0	1.0
0.0	0.05494800202628207	0.32142857142857145	0.0	0.0	0.0	0.5333333333333333	0.20581911961222304	0.0761293726454828	0.1183315177063105	0.1771479185119575	0.32142857142857145	0.14814814814814814	0.0	0.26666666666666666
0.0	0.0824220030394231	0.0	0.7142857142857142	0.0	0.0	0.0	0.20581911961222304	0.06344069343888897	0.1183315177063105	0.03542958370239147	0.14285714285714285	0.018518518518518517	1.0	0.0
0.0	0.1100173020702822	0.0	0.0	0.0	0.0	0.6153846153846154	0.13101068840847774	0.07613477701143634	0.11838509774602354	0.17891939769707702	1.0	1.0	1.0	1.0
0.0	0.21967091058000146	0.3	0.0	0.16666666666666666	0.0	0.0	0.2245000591645959	0.1395681367875239	0.2839313900873408	0.4033521836887647	0.10714285714285714	0.22839506172839505	0.6666666666666666	0.4666666666666667
