is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.65	0.2608695652173913	0.18840579710144925	0.0	0.5652173913043478	0.31818181818181823	0.5454545454545455	0.4182507993573326	0.093374299271612	0.29302578440509475	0.29862189440993797	0.0	0.0	0.4	0.0
0.0	0.6026431718061674	0.0	0.0	0.0	0.28888888888888886	0.5	0.0	0.3069581460510187	0.06420083138774037	0.12652582159624415	0.2596079192546584	0.0	0.0	0.4	0.0
0.0	0.40242691671263103	1.0	0.0	0.6363636363636365	0.0	0.0	0.0	0.2512215642923686	0.04669315048466257	0.29606089139987446	0.13489906832298135	1.0	1.0	1.0	1.0
0.0	0.15082690187431091	0.0	1.0	0.0	0.0	0.0	0.0	0.08373229867731047	0.04085602927805402	0.04225462527438069	0.15013586956521738	0.0	0.05806451612903226	0.0	0.0
0.0	0.5027563395810364	0.46153846153846156	0.0	0.0	0.0	0.0	0.0	0.22328612980616125	0.04669260488920459	0.08450925054876138	0.11345108695652177	1.0	1.0	1.0	1.0
0.0	0.40198347107438015	0.0	0.0	0.0	0.0	0.0	0.0	0.22326420676936143	0.05252856671980879	0.16885964912280702	0.26582792207792205	1.0	1.0	1.0	1.0
0.0	0.8008781558726674	0.0	0.0	0.0	0.0	0.0	0.0	0.36255515719801434	0.09921251124207621	0.16775599128540306	0.11597437888198761	1.0	1.0	1.0	1.0
0.0	0.6016492578339747	0.0	0.0	0.0	0.0	0.0	0.0	0.27897069706864586	0.07003481565473565	0.16822721598002496	0.2302018633540373	1.0	1.0	1.0	1.0
0.0	0.7011532125205931	0.0	0.21666666666666667	0.0	0.0	0.0	0.0	0.223132758899612	0.07586927737671137	0.1679127725856698	0.1665258494702229	1.0	1.0	1.0	1.0
0.0	0.9	0.0	0.0	0.0	0.5652173913043478	0.0	0.0	0.47401757260497696	0.116717874089515	0.29302578440509475	0.34185753105590067	0.45454545454545453	0.45806451612903226	0.0	0.25
0.0	1.0	0.5217391304347826	0.18840579710144925	0.0	0.5652173913043478	0.6363636363636365	0.0	0.5019009592287992	0.09921019297608774	0.37674743709226466	0.3331230590062112	0.0	0.0	0.4	0.0
0.0	0.15008228195282503	0.0	0.0	0.0	0.19696969696969696	0.0	0.5714285714285714	0.4740640768306814	0.08170346643162057	0.12569962686567163	0.19716410591696634	1.0	1.0	1.0	1.0
0.0	0.3019867549668874	0.0	0.0	0.0	0.7878787878787878	0.0	0.0	0.22332998879846258	0.04085698408126219	0.12700282752120642	0.42155958850931674	0.45454545454545453	0.45806451612903226	0.0	0.25
0.0	0.15074380165289256	0.0	0.0	0.0	0.0	0.0	0.0	0.30698828430787195	0.05252856671980879	0.0	0.14592744212309433	1.0	1.0	1.0	1.0
0.0	0.299016393442623	0.0	0.0	0.0	0.29885057471264365	0.0	0.0	0.6688076311605723	0.11670969273896314	0.24976830398517147	0.19286759436215956	0.45454545454545453	0.45806451612903226	0.0	0.25
0.0	0.25	0.0	0.0	0.0	0.0	0.0	0.0	0.5576677324764435	0.08753840556713624	0.16744330537433985	0.10908385093167702	1.0	1.0	1.0	1.0
0.0	0.10049586776859504	0.0	0.0	0.0	0.0	0.5384615384615385	0.0	0.30698828430787195	0.05252856671980879	0.042214912280701754	0.07684570863918694	1.0	1.0	1.0	1.0
0.0	0.4492610837438424	0.0	0.0	0.0	0.0	0.0	0.0	0.6132540307297588	0.12254947243440921	0.2922087980173482	0.13042634350526605	1.0	1.0	1.0	1.0
0.0	0.15082690187431091	0.0	0.0	0.0	0.0	0.0	0.0	0.22328612980616125	0.029182878055752867	0.08450925054876138	0.03396739130434783	1.0	1.0	1.0	1.0
0.0	0.2479608482871126	0.0	0.0	0.0	0.11403508771929824	0.0	0.0	0.9187997871512418	0.175046134295147	0.2064185049019608	0.1861967613132209	1.0	1.0	1.0	1.0
0.0	0.3480916030534351	0.0	0.0	0.0	0.1313131313131313	0.0	0.0	0.7521136385307299	0.14588029892802984	0.20737149892274548	0.16381987577639753	1.0	1.0	1.0	1.0
0.0	0.20099173553719007	0.0	0.0	0.0	0.3095238095238095	0.0	0.0	0.27908025846170176	0.0466920593064967	0.16885964912280702	0.2086568322981367	0.45454545454545453	0.45806451612903226	0.0	0.25
0.0	0.39847078099399236	0.0	0.0	0.0	0.43333333333333335	0.0	0.0	0.5851493096861199	0.11087291282744284	0.3327160493827161	0.2859730848861285	0.45454545454545453	0.45806451612903226	0.0	0.25
0.0	0.15057787561915245	0.0	0.0	0.0	0.0	0.0	0.0	0.36273310711319945	0.0700364522689941	0.04213570981863665	0.09107740086000954	1.0	1.0	1.0	1.0
0.0	0.24931656642974304	0.0	0.0	0.0	0.15476190476190474	0.0	0.0	0.5573943391376474	0.11671105621773856	0.25	0.44134316770186327	1.0	1.0	1.0	1.0
0.0	0.2513781697905182	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.1953753635803911	0.029182878055752867	0.08450925054876138	0.3431677018633541	0.45454545454545453	0.45806451612903226	0.0	0.25
0.0	0.10033003300330033	0.0	0.0	0.0	0.2549019607843137	0.0	0.0	0.2789980793514362	0.040854119805510465	0.12628865979381443	0.10321927684117126	0.45454545454545453	0.45806451612903226	0.0	0.25
0.0	0.10021978021978023	0.0	0.0	0.0	0.0	0.0	0.0	0.3068376521762194	0.0583616644802412	0.16806984720922982	0.14751552795031056	1.0	1.0	1.0	1.0
