is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.9637574483000351	0.0	0.0	0.0	0.0	0.0	0.26836337033441665	0.09333065873834027	0.13682200152788387	0.1441241685144125	1.0	1.0	1.0	1.0
0.0	0.7596343178621661	0.0	0.0	0.36666666666666664	1.0	0.0	0.214863000197122	0.06222435451868991	0.18273645546372821	0.30774916140769804	1.0	1.0	1.0	1.0
0.0	0.13958777540867093	0.0	0.0	0.0	0.0	0.0	0.08078975604246669	0.007780581408992677	0.04594192489226349	0.16038433111603845	1.0	1.0	1.0	1.0
0.0	0.554215167548501	0.0	0.0	0.0	0.0	0.0	0.13439723807510745	0.06222969477881487	0.045761152843783535	0.3519586104951959	1.0	1.0	1.0	1.0
0.0	0.6913058782118973	0.42857142857142855	0.21428571428571427	0.0	0.0	0.0	0.2686506203963213	0.07000475741379984	0.09141952937573376	0.5013550135501356	0.04	0.14096916299559473	0.125	0.0
0.0	0.34822695035460993	0.0	0.0	0.0	0.0	0.0	0.1076619161845633	0.02333925123361648	0.045890130162959925	0.3093865484109386	1.0	1.0	1.0	1.0
0.0	0.48545197740112994	0.0	0.0	0.0	0.0	0.7272727272727273	0.10754658472641164	0.03889400420749502	0.2747213416504755	0.3627330212696066	1.0	1.0	1.0	1.0
0.0	0.3474876150035386	0.0	0.0	0.0	0.0	0.8888888888888888	0.05380210977604784	0.023337470698732585	0.18335380835380835	0.40534262485482	1.0	1.0	1.0	1.0
0.0	0.895859649122807	0.0	0.0	0.0	0.4444444444444444	0.47058823529411764	0.16106107514776247	0.07777697257807492	0.27379739094985733	0.21872382360187237	1.0	1.0	1.0	1.0
0.0	0.06935028248587571	0.0	0.0	0.0	0.0	0.0	0.18820652327122037	0.015556533386514932	0.045786890275079255	0.06183789110618379	1.0	1.0	1.0	1.0
0.0	0.20651945320715037	0.0	0.0	0.0	0.0	0.0	0.34887238143474164	0.046663193118426524	0.0912146676852559	0.09164818920916486	1.0	1.0	1.0	1.0
0.0	0.20458333333333334	0.0	0.0	0.0	0.0	0.0	0.4283508771929825	0.09330823888159573	0.18151413803587715	0.0894308943089431	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13446924302451815	0.007777910545531893	0.0	0.05691056910569106	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21469069626753332	0.03888528218177422	0.0	0.0	1.0	1.0	1.0	1.0
0.0	0.2043704474505723	0.0	0.0	0.0	0.27586206896551724	0.0	0.6155902285706268	0.12441027485086813	0.18141301595340592	0.054409005628517845	1.0	1.0	1.0	1.0
0.0	0.13943911963081293	0.0	0.0	0.0	0.0	0.0	0.053845393854709184	0.007780047187395924	0.09183202584217813	0.039172209903917225	1.0	1.0	1.0	1.0
0.0	0.2076109936575053	0.0	0.0	0.0	0.0	0.0	0.29559478192268684	0.03889151191500648	0.18294177732379982	0.17005979977155145	1.0	1.0	1.0	1.0
0.0	0.20717299578059073	0.0	0.0	0.0	0.0	0.0	0.2954366252710428	0.04666746473999356	0.09136822773186411	0.1549263744385696	1.0	1.0	1.0	1.0
0.0	0.06935028248587571	0.0	0.0	0.0	0.0	0.0	0.16131987708961745	0.03889400420749502	0.045786890275079255	0.14067504311406753	1.0	1.0	1.0	1.0
0.0	0.2750700280112045	0.0	0.0	0.0	0.0	0.0	0.4292666460378632	0.09332816718715245	0.18232719128575792	0.12490761271249073	1.0	1.0	1.0	1.0
0.0	0.5449878598681929	0.0	0.0	0.19642857142857142	0.0	0.0	0.5620606434775288	0.1399625380981637	0.5442390478602177	0.13491386662118374	1.0	1.0	1.0	1.0
0.0	0.13870056497175143	0.0	0.0	1.0	0.0	0.0	0.2419798156344262	0.05445231808814842	0.22893445137539625	0.0894308943089431	1.0	1.0	1.0	1.0
0.0	0.06847977684797768	0.0	0.0	0.47826086956521735	0.0	0.0	0.24120465338466296	0.054433096230603904	0.1819197562214322	0.019603702530531817	1.0	1.0	1.0	1.0
0.0	0.41130890052356023	0.0	0.0	0.5	0.0	0.0	0.48253812100344323	0.10887509144515105	0.2730321662686112	0.15328898743532895	1.0	1.0	1.0	1.0
0.0	0.4091666666666667	0.0	0.0	0.4074074074074074	0.0	0.0	0.5889824561403509	0.10108454839990913	0.22689267254484646	0.059157427937915744	1.0	1.0	1.0	1.0
