is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.5481153298746614	0.0	0.2857142857142857	0.37037037037037035	0.2692307692307693	0.22574651052244935	0.08365268101366918	0.1769487680383137	0.38536429143314643	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.34329710144927533	0.0	0.0	0.0	0.4666666666666667	0.15547046970133133	0.04707960717480853	0.1778115501519757	0.6829463570856684	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.4455945410115727	0.0	0.0	0.0	0.31818181818181823	0.19765289885152898	0.0627510640039469	0.2437346127138438	0.5281558580197492	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.47331174838112855	0.0	0.0	0.0	0.0	0.15537227265746503	0.05753040949369401	0.24405815423514537	0.2609198469887021	1.0	1.0	0.3333333333333333	1.0
0.0	0.13274646242936533	0.0	0.6666666666666666	0.0	0.0	0.0990139758952631	0.02616150607611494	0.08910325569588119	0.5174806511876167	1.0	1.0	0.3333333333333333	1.0
0.0	0.1318964317201058	0.0	0.0	0.0	0.4375	0.183708801315761	0.057539408893318114	0.19994936388379012	0.41585268214571663	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.10540465374988411	0.0	0.0	0.0	0.0	0.1695505698206044	0.05230550779909159	0.11103378463874479	0.5268214571657325	1.0	1.0	0.3333333333333333	1.0
0.0	0.026295097132284923	0.0	0.0	0.0	0.0	0.16949702471723457	0.05230000842882648	0.13312262958280657	0.24099279423538827	1.0	1.0	0.3333333333333333	1.0
0.0	0.05332770507949908	0.0	1.0	0.0	0.0	0.05661522455349401	0.01046655392133991	0.06694640473011634	0.6579663730984788	1.0	1.0	0.3333333333333333	1.0
0.0	0.07956241836163463	0.0	0.0	0.0	0.0	0.12728355622935728	0.026160005172139376	0.1113296117736615	0.26341072858286635	1.0	1.0	0.3333333333333333	1.0
0.0	0.026435712624970936	0.5333333333333333	0.0	0.0	0.0	0.127223213203332	0.03138715442208189	0.08894520114032309	0.2772063804890065	0.0	0.0	0.0	0.0
0.0	0.02657784011220196	0.0	0.7272727272727273	0.0	0.0	0.07073545373598018	0.02093010538888712	0.022285714285714287	0.4315452361889512	1.0	1.0	0.3333333333333333	1.0
0.0	0.130091533180778	0.0	0.25806451612903225	0.0	0.0	0.310254643777306	0.0836399440413299	0.17671491504090625	0.2922337870296237	1.0	1.0	0.3333333333333333	1.0
0.0	0.02649238081923668	0.0	0.0	0.38461538461538464	0.0	0.09898267207740181	0.04185495825984896	0.022256039566292563	0.4998180362471795	1.0	1.0	0.3333333333333333	1.0
0.0	0.07871780670174466	0.0	0.34782608695652173	0.22727272727272727	0.0	0.2259246845639035	0.07844401619801906	0.08866995073891626	0.45172137710168114	1.0	1.0	0.3333333333333333	1.0
0.0	0.15660437996418897	0.0	0.0	0.18518518518518517	0.0	0.3245106088760209	0.10456728908387755	0.19906736404310288	0.6220976781425139	1.0	1.0	0.3333333333333333	1.0
0.0	0.39317165383374053	0.0	0.3333333333333333	0.43478260869565216	0.31818181818181823	0.25412515566625155	0.07844001799363841	0.2437346127138438	0.5431011475847346	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.13260403060272438	0.6666666666666666	0.0	0.0	0.0	0.11314093887053982	0.036624807991091274	0.1335955341283938	0.6669335468374699	0.0	0.0	0.0	0.0
0.0	0.07939204915743413	0.0	0.0	0.0	0.5384615384615385	0.09896702758995476	0.03138890497455353	0.06673849664089238	0.5249532959701094	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.13274646242936533	0.0	0.0	0.0	0.7000000000000001	0.12730368329390968	0.03139415763625348	0.11137906961985149	0.48759007205764593	0.0	0.020202020202020204	0.0	0.0
0.0	0.05315568022440392	0.0	0.0	0.0	0.0	0.1131767259775683	0.0313959088583285	0.044571428571428574	0.27461969575660533	1.0	1.0	0.3333333333333333	1.0
0.0	0.05236735445836404	0.0	0.0	0.0	0.0	0.23996921753303602	0.0522890128413036	0.0664437152953054	0.22265084795108817	1.0	1.0	0.3333333333333333	1.0
0.0	0.07830218998209448	0.0	0.0	0.0	0.2692307692307693	0.3245106088760209	0.0784240289961171	0.08847438401915685	0.35666933546837465	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.10484577435566417	0.0	0.0	0.0	0.31818181818181823	0.26824321986993216	0.0627510640039469	0.13294615238936935	0.27835601814785166	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.05275857268804232	0.0	0.0	0.0	0.4375	0.19784024757081953	0.04184595584880952	0.04443319197417558	0.2604216706698691	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.10495707560232621	0.0	0.0	0.0	0.3333333333333333	0.25416527013439144	0.0470646088919933	0.0665024630541872	0.2477181745396318	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.07922240802675584	0.0	0.0	0.0	0.4666666666666667	0.16960414876508872	0.03138540403695108	0.15558510638297873	0.36909527622097676	0.38095238095238093	0.06060606060606061	1.0	0.3
0.0	0.26045723186878633	0.0	0.0	0.0	0.0	0.3667223943010934	0.12024125682524445	0.2209909966630989	0.5523529935059157	1.0	1.0	0.3333333333333333	1.0
0.0	0.18004343301814232	0.0	0.0	0.0	0.0	0.5068105087508247	0.12016937503208458	0.15387987724682156	0.2760567428301614	1.0	1.0	0.3333333333333333	1.0
