is_a_highlight	abstract	keyword1	keyword2	keyword3	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.4101277372262774	0.5294117647058824	0.6470588235294117	0.0	0.30069651783255597	0.3228745838881843	0.18268104776579355	0.27130434782608703	1.0	0.0	0.25	1.0
0.0	0.3790050590219224	0.3	0.7333333333333333	0.0	0.30079406582108326	0.3229073377929352	0.3201259026106277	0.2589584328714764	1.0	0.0	0.25	1.0
0.0	0.12697740112994352	0.0	0.9166666666666666	0.0	0.10042102488031075	0.09691435509031564	0.13804023845007451	1.0	0.6428571428571429	0.8076923076923077	1.0	0.8
0.0	0.8461029001673174	0.15517241379310345	0.3793103448275862	0.0	0.867175542116071	0.8390228366450783	0.9060341138350554	0.44913733609385786	0.6428571428571429	0.8076923076923077	1.0	0.8
0.0	0.2848943661971831	0.0	0.0	0.5	0.2006562978716562	0.22607787564880488	0.1834271922767498	0.1755693581780538	0.0	0.07692307692307693	0.25	0.2
0.0	0.4103581460674158	0.28125	0.0	0.3333333333333333	0.26732534455096507	0.1937274257887437	0.1828049833477242	0.06193433895297248	0.0	0.07692307692307693	0.25	0.2
0.0	0.5354190022421524	0.22500000000000003	0.275	0.2631578947368421	0.5009529542177461	0.5165350408564907	0.4101980563414934	0.4194616977225672	0.6428571428571429	0.8076923076923077	1.0	0.8
0.0	0.34781232414181207	0.0	0.8461538461538461	0.0	0.3008916707802566	0.3229400977391699	0.18317780112477597	0.5389045736871825	0.6428571428571429	0.8076923076923077	1.0	0.8
0.0	1.0	0.0	0.16176470588235292	0.0	0.9665171930018881	0.9678785623272318	0.812698025834755	0.376475155279503	0.7857142857142857	1.0	0.0	0.0
0.0	0.5669142376681614	0.22500000000000003	0.55	0.0	0.46755251227489886	0.48425011143960633	0.4557756181572149	0.3486542443064183	0.6428571428571429	0.8076923076923077	1.0	0.8
0.0	0.0	0.0	0.0	0.0	0.3674681415976014	0.09684286565359762	0.1369179600886918	0.013354037267080747	0.7857142857142857	1.0	0.0	0.0
0.0	0.22158450704225352	0.4090909090909091	1.0	0.0	0.267544987797218	0.2583762050087234	0.2751407884151247	0.5540372670807454	1.0	0.0	0.25	1.0
0.0	0.2526700393479483	0.3	0.36666666666666664	0.0	0.40106852062775133	0.3551997102496149	0.3201259026106277	0.42465360726230295	1.0	0.0	0.25	1.0
0.0	0.12486111111111112	0.0	0.15277777777777776	0.0	0.8329354609791315	0.35482485752221693	0.2705366922234392	0.11918158567774945	0.7857142857142857	1.0	0.0	0.0
0.0	0.18992957746478875	0.0	1.0	0.0	0.267544987797218	0.19377954628888647	0.32099758648431215	0.4811594202898552	0.6428571428571429	0.8076923076923077	1.0	0.8
0.0	0.12479178234314271	0.12162162162162163	0.2972972972972973	0.0	0.5662667821985213	0.29028772802900205	0.40553359683794465	0.1312511091393078	0.6428571428571429	0.8076923076923077	1.0	0.8
0.0	0.12626404494382024	0.28125	0.34375	0.0	0.3007452847086068	0.1937274257887437	0.22850622918465524	0.2104702750665484	1.0	0.0	0.25	1.0
0.0	0.15827464788732395	0.4090909090909091	1.0	0.0	0.267544987797218	0.2583762050087234	0.32099758648431215	0.3271221532091097	1.0	0.0	0.25	1.0
0.0	0.15783005617977527	0.28125	0.34375	0.0	0.4010051051815319	0.1937274257887437	0.22850622918465524	0.11038154392191657	1.0	0.0	0.25	1.0
0.0	0.09512556433408578	0.5625	0.0	0.0	0.13384090794235995	0.16150803164823735	0.09190127744015875	0.18012422360248442	1.0	0.0	0.25	1.0
0.0	0.3460596304591265	0.4090909090909091	0.25	0.0	0.634359910429247	0.38735663186999336	0.36412776412776415	0.16409937888198758	1.0	0.0	0.25	1.0
0.0	0.15783005617977527	0.28125	0.0	0.0	0.36758516502389016	0.1614365422145599	0.13710373751079313	0.06406388642413487	0.7857142857142857	1.0	0.0	0.0
0.0	0.18918350168350168	0.0	0.0	0.0	0.4008783298030523	0.19370658431670282	0.1369179600886918	0.11024844720496894	0.7857142857142857	1.0	0.0	0.0
0.0	0.12661971830985916	0.4090909090909091	0.0	0.0	0.267544987797218	0.19377954628888647	0.13757039420756234	0.16563146997929604	1.0	0.0	0.25	1.0
0.0	0.06352459016393443	0.0	0.0	0.0	0.03349323877030144	0.032305778442717994	0.09208972845336483	0.0	0.7857142857142857	1.0	0.0	0.0
0.0	0.2522446689113356	0.25	0.0	0.0	0.4342885180085033	0.29057030297980796	0.22819660014781967	0.17406832298136649	0.7857142857142857	1.0	0.0	0.0
0.0	0.21899359688195993	0.0	0.0	0.0	0.6000454709660653	0.38716328223115415	0.13563148261134841	0.057888198757763985	0.7857142857142857	1.0	0.0	0.0
0.0	0.18865416899832121	0.0	0.0	0.0	0.5341050476347026	0.38733728888552155	0.09097047449512001	0.10576752440106475	0.7857142857142857	1.0	0.0	0.0
0.0	0.43896484375	0.32142857142857145	0.19642857142857142	0.0	0.8005837253530556	0.5163327114522837	0.4986541049798116	0.11218346870520783	1.0	0.0	0.25	1.0
0.0	0.28109366314619233	0.1285714285714286	0.0	0.14705882352941174	0.7997340288175373	0.4516305538156648	0.2707178956341716	0.05759457933370976	0.7857142857142857	1.0	0.0	0.0
0.0	0.44093329596412556	0.22500000000000003	0.55	0.0	0.5343533961605935	0.48425011143960633	0.4557756181572149	0.44679089026915114	0.6428571428571429	0.8076923076923077	1.0	0.8
0.0	0.18982263513513514	0.375	0.4583333333333333	0.0	0.3009404946394341	0.2906596400502835	0.2749536178107607	0.3530434782608696	1.0	0.0	0.25	1.0
