is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	keyword8	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.4166958041958042	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4230769230769231	0.13974860666429503	0.0863565110117689	0.15297600343989282	0.09697885196374628	0.14285714285714285	0.0	0.0	0.07692307692307693
0.0	0.4166958041958042	0.0	0.0	0.0	0.0	0.0	0.0	0.9166666666666666	0.0	0.22359777066287204	0.12090087642408048	0.24476160550382856	0.2682779456193354	1.0	1.0	0.5	1.0
0.0	0.41696308822671874	0.75	0.3333333333333333	0.27272727272727276	0.0	1.0	0.6363636363636365	0.0	0.0	0.16773413037290066	0.06908707926644932	0.21420537250231572	0.24572004028197392	0.0	0.057291666666666664	1.0	0.0
0.0	0.8265040744379587	0.3461538461538462	0.46153846153846156	0.24000000000000002	0.0	0.3076923076923077	0.0	0.22	0.0	0.445958090913391	0.2589639491153595	0.5494142880712753	0.41061342440562204	0.07142857142857142	0.010416666666666666	1.0	0.0
0.0	0.7370129870129869	0.0	0.0	0.0	0.0	0.0	0.0	0.275	0.0	0.3069228401638374	0.22447236879937937	0.4277103459664767	0.5823262839879155	1.0	1.0	0.5	1.0
0.0	0.4612214094972716	0.0	0.631578947368421	0.0	0.0	0.21052631578947367	0.0	0.0	0.0	0.22331177905682273	0.20721888453285053	0.33618026530983103	0.6160309667673716	0.07142857142857142	0.010416666666666666	1.0	0.0
0.0	0.5086427656850192	0.0	0.0	0.42857142857142855	0.0	0.26666666666666666	0.0	0.0	0.0	0.13968897423132542	0.1208920741905699	0.3058407313726463	0.33119335347432033	0.0	0.057291666666666664	1.0	0.0
0.0	0.6922741794946268	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.36295901445155176	0.17268716975580822	0.4279435577145501	0.44803625377643524	0.14285714285714285	0.052083333333333336	0.0	0.07692307692307693
0.0	0.23164616012595488	0.0	1.0	0.0	0.0	0.3333333333333333	0.0	0.0	0.0	0.1397784419774172	0.12090527796141842	0.18360460500198492	0.5100704934541793	0.07142857142857142	0.010416666666666666	1.0	0.0
0.0	0.6003545687049524	0.0	0.0	0.375	0.0	0.23529411764705882	0.0	0.0	0.0	0.19548114973578823	0.15542323765433444	0.27515658310059327	0.26510574018126887	0.0	0.057291666666666664	1.0	0.0
0.0	0.04612214094972716	0.0	0.0	0.0	0.0	0.0	0.0	0.611111111111111	0.0	0.22331177905682273	0.06906782622022507	0.06112368460178746	0.0608950151057402	1.0	1.0	0.5	1.0
0.0	0.458004265867297	0.0	0.0	0.0	0.0	0.0	0.0	0.1896551724137931	0.55	0.5012760527435134	0.2071402671641791	0.3965113595146239	0.19519973145350789	0.14285714285714285	0.0	0.0	0.07692307692307693
0.0	0.2728990153423403	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13414634146341464	0.6945917910271825	0.24157528792599656	0.4261620732208967	0.09313881380187643	1.0	1.0	0.5	1.0
0.0	0.5054071246819338	0.0	0.0	0.0	0.0	0.0	0.0	0.22916666666666666	0.22	0.5296879805076526	0.29350391117001307	0.36634267892209443	0.37324910738808015	1.0	1.0	0.5	1.0
0.0	0.36091079438986995	0.0	0.0	0.0	0.0	0.0	0.0	0.10377358490566037	0.3055555555555555	0.7480956411341515	0.39671513397474883	0.5770051544699433	0.10929447307623946	1.0	1.0	0.5	1.0
0.0	0.2753263255169227	0.0	0.0	0.0	0.0	0.0	0.0	0.21153846153846154	0.0	0.5573289825258329	0.24169067019242918	0.305174774418106	0.1805135951661631	1.0	1.0	0.5	1.0
0.0	1.0	0.21428571428571427	0.2857142857142857	0.14634146341463417	0.0	0.2857142857142857	0.17073170731707318	0.2682926829268293	0.39285714285714285	0.8055555555555556	0.43138571629930444	0.791300628434179	0.42900302114803635	0.07142857142857142	0.010416666666666666	1.0	0.0
0.0	0.13818993506493507	0.0	0.0	0.0	0.0	0.19047619047619047	0.7000000000000001	0.0	0.0	0.4743352984350214	0.12086567421743144	0.1833044339856329	0.04481369587109773	0.14285714285714285	0.052083333333333336	0.0	0.07692307692307693
0.0	0.4090909090909091	0.6428571428571429	0.09523809523809523	0.07317073170731708	0.22500000000000003	0.2857142857142857	0.17073170731707318	0.0	0.0	0.7777777777777778	0.3278482621013497	0.5173888724377324	0.23379037880548462	0.14285714285714285	0.052083333333333336	0.0	0.07692307692307693
0.0	0.1389876960755729	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22364550716386752	0.08635981216477234	0.18360460500198492	0.29154078549848944	1.0	1.0	0.5	1.0
0.0	0.6363636363636365	0.0	0.09523809523809523	0.07317073170731708	0.0	0.19047619047619047	0.0	0.0	0.13095238095238093	1.0	0.465898201031956	0.6391274306583753	0.3061817336741808	1.0	1.0	0.5	1.0
0.0	0.3169848959817612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.34375	0.832274011299435	0.3450353235666555	0.6992374942483403	0.2541792547834845	1.0	1.0	0.5	1.0
0.0	0.09248050285182167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3073157433089159	0.15543423904450385	0.1223362925490585	0.29418429003021146	1.0	1.0	0.5	1.0
0.0	0.277441508555465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7333333333333333	0.33525353815518094	0.1381631566175369	0.27525665823538165	0.46601208459214505	0.14285714285714285	0.0	0.0	0.07692307692307693
