is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.7347480106100795	0.16666666666666666	0.0	0.0	0.5833333333333334	0.3215780233854851	0.281551696816032	0.3297524094383516	0.2773268398268398	0.3333333333333333	0.14018691588785046	1.0	0.25
0.0	0.5814712879600691	0.6	0.0	0.6	0.23333333333333336	0.300347305345114	0.25029258302043206	0.3047920133111481	0.4406194295900179	0.0	0.0	1.0	0.0
0.0	0.8497327445967928	0.46153846153846156	0.14	0.0	0.0	0.4071912906869364	0.35974296075085327	0.43092826303553633	0.5171277997364955	0.3333333333333333	0.4205607476635514	0.0	0.16666666666666666
0.0	0.8033420798232288	0.09523809523809523	0.17073170731707318	0.0	0.0	0.42743980069931353	0.5003167950092602	0.4034357449620085	0.28506216006215995	0.8666666666666667	1.0	0.0	0.16666666666666666
0.0	0.8115989210306017	0.32	0.2916666666666667	0.0	0.0	0.34295723338018946	0.32846897169604333	0.3803571428571428	0.544077134986226	1.0	0.9252336448598131	1.0	1.0
0.0	1.0	0.24242424242424243	0.0	0.36363636363636365	0.14141414141414144	0.47091463638702086	0.4535115594608429	0.40463883366467857	0.23705808080808086	0.0	0.0	1.0	0.0
0.0	0.2725100721446641	0.0	0.0	0.0	0.35897435897435903	0.10739702791400862	0.09387574072719293	0.10183455637091393	0.10795454545454546	0.3333333333333333	0.14018691588785046	1.0	0.25
0.0	0.46659180235822567	0.26666666666666666	0.0	0.0	0.0	0.1717757036905973	0.15645193737959961	0.30529999999999996	0.2288510101010101	1.0	0.9252336448598131	1.0	1.0
0.0	0.15562526335502597	0.0	0.0	0.0	0.6666666666666666	0.2147568362723375	0.10951902677526336	0.07635045015005001	0.08694903581267217	0.3333333333333333	0.14018691588785046	1.0	0.25
0.0	0.1162942575920138	0.0	0.0	0.0	0.0	0.27889392639189153	0.14078957794899302	0.07619800332778702	0.08467023172905525	0.8666666666666667	1.0	0.0	0.16666666666666666
0.0	0.30974234729534544	0.18181818181818182	0.0	0.0	0.42424242424242425	0.38602717837511463	0.18771028379169105	0.2538244097106751	0.15799441786283894	0.3333333333333333	0.14018691588785046	1.0	0.25
0.0	0.23386491557223263	0.36363636363636365	0.0	0.0	0.0	0.15040797355918198	0.12517375929764663	0.17832943925233644	0.28645833333333337	1.0	0.9252336448598131	1.0	1.0
0.0	0.11615338023575454	0.18181818181818182	0.0	0.0	0.21212121212121213	0.30024336095842247	0.20335280744099862	0.15229464582640503	0.1764354066985646	1.0	0.9252336448598131	1.0	1.0
0.0	0.23287095418242956	0.4444444444444444	0.0	0.0	0.0	0.3219121304227687	0.2033726409343607	0.2033300033300033	0.4305555555555555	0.3333333333333333	0.4205607476635514	0.0	0.16666666666666666
0.0	0.4626519439547183	0.13793103448275862	0.0	0.0	0.3218390804597701	0.5355002169580279	0.31279708943763257	0.3545288652952886	0.17409673659673658	0.3333333333333333	0.14018691588785046	1.0	0.25
0.0	0.5413932709758481	0.3333333333333333	0.0	0.16666666666666666	0.5833333333333334	0.45020923273967917	0.297193457750256	0.3297524094383516	0.32738095238095233	0.3333333333333333	0.14018691588785046	1.0	0.25
