is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	keyword8	keyword9	keyword10	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.6531824086101318	0.0	0.32142857142857145	0.7142857142857142	0.0	0.5714285714285714	0.21428571428571427	0.0	0.0	0.8571428571428571	0.0	0.5563001017546472	0.15407679742141275	0.47501525151128615	0.40563086548488014	1.0	0.6329113924050633	1.0	1.0
0.0	1.0	0.0	0.22500000000000003	0.0	0.0	0.0	0.15000000000000002	0.0	0.0	0.30000000000000004	0.275	0.6666666666666667	0.2888488977442049	0.36867932185880053	0.21828293361140083	1.0	0.6329113924050633	1.0	1.0
0.0	0.41435442101368847	0.0	0.5625	0.0	0.0	0.0	0.375	0.375	0.375	0.375	0.0	0.4448413584381435	0.1540663381345819	0.31645452698084275	0.9807835542976315	0.0	0.4430379746835443	0.5	0.08333333333333333
0.0	0.7125626275746892	0.0	0.0	0.3571428571428571	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33378006105278835	0.1733375741203982	0.21111788956057162	0.08654848800834204	0.4375	1.0	0.5	0.5
0.0	0.1784220797323669	0.0	0.3461538461538462	0.0	0.0	0.6153846153846154	0.46153846153846156	0.0	0.0	0.9230769230769231	0.0	0.5564243868533413	0.17334332719677398	0.31678810518918515	0.41558441558441567	0.0625	0.0	0.0	0.0
0.0	0.11894805315491125	0.0	0.3461538461538462	0.0	0.0	0.0	0.23076923076923078	0.0	0.0	0.46153846153846156	0.0	0.5007819481680071	0.13482072778491647	0.31678810518918515	0.3291307232913073	1.0	0.6329113924050633	1.0	1.0
0.0	0.17927170868347342	0.0	0.45000000000000007	0.5	0.0	0.0	0.30000000000000004	0.0	0.0	0.6000000000000001	0.0	0.38975830290384283	0.057783374917523146	0.21141492493104022	0.383733055265902	1.0	0.6329113924050633	1.0	1.0
0.0	0.17702378757145493	0.0	0.5	0.0	0.0	0.0	0.16666666666666666	0.0	0.0	0.3333333333333333	0.0	0.666964219296288	0.1733145649388508	0.26352710960143255	0.4009384775808134	1.0	0.6329113924050633	1.0	1.0
0.0	0.35294117647058826	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8333333333333334	0.17330306222209413	0.47401627096131493	0.052137643378519304	0.4375	1.0	0.5	0.5
0.0	0.17730168990673192	0.0	0.2647058823529412	0.0	0.0	0.0	0.17647058823529413	0.0	0.0	0.35294117647058826	0.0	0.7782986111111112	0.17332031676569523	0.36906740535549404	0.218561001042753	1.0	0.6329113924050633	1.0	1.0
0.0	0.526123492875411	0.0	0.1875	0.0	0.0	0.3333333333333333	0.125	0.0	0.0	0.5	0.22916666666666666	0.8880964762400021	0.2503022533007029	0.47335261499917103	0.18181818181818182	1.0	0.6329113924050633	1.0	1.0
0.0	0.23827252419955325	0.0	0.75	0.0	0.0	0.6666666666666666	0.25	0.0	0.0	1.0	0.0	0.38958410924891373	0.09630178962049127	0.26408287854962537	0.48008342022940564	0.0625	0.0	0.0	0.0
0.0	0.17702378757145493	0.0	0.0	0.27777777777777773	0.0	0.4444444444444444	0.0	0.0	0.0	0.3333333333333333	0.0	0.611383867688264	0.1347971950284339	0.3162325315217191	0.05839416058394161	0.4375	1.0	0.5	0.5
0.0	0.2922908293752284	0.0	0.375	0.0	0.2708333333333333	0.3333333333333333	0.125	0.0	0.0	0.5	0.0	0.9436025060050022	0.21179115691815023	0.3681631449993552	0.2352829652099725	1.0	0.6329113924050633	1.0	1.0
0.0	0.35294117647058826	0.0	0.22500000000000003	0.0	0.0	0.4	0.30000000000000004	0.0	0.0	0.6000000000000001	0.0	0.8333333333333334	0.2118183407294644	0.36867932185880053	0.45742092457420935	1.0	0.6329113924050633	1.0	1.0
0.0	0.059474026577455624	0.0	0.0	0.0	0.0	0.6153846153846154	0.0	0.0	0.0	0.46153846153846156	0.0	0.6120668255386755	0.15408202749084524	0.10559603506306173	0.08342022940563086	0.4375	1.0	0.5	0.5
0.0	0.2909355395945086	0.0	0.16666666666666666	0.0	0.0	0.2962962962962963	0.1111111111111111	0.2222222222222222	0.2222222222222222	0.4444444444444444	0.0	0.8875030932937392	0.1732628125485637	0.3677769598822231	0.4127632950990616	0.0	0.4430379746835443	0.5	0.08333333333333333
0.0	0.1781406568936723	0.0	0.32142857142857145	0.0	0.0	0.0	0.21428571428571427	0.0	0.0	0.42857142857142855	0.0	0.5006700915791825	0.09629446732445623	0.21111788956057162	0.32012513034410844	1.0	0.6329113924050633	1.0	1.0
0.0	0.11764705882352942	0.0	0.45000000000000007	0.0	0.0	0.4	0.15000000000000002	0.0	0.0	0.6000000000000001	0.0	0.888888888888889	0.19256070147577925	0.3160108473075433	0.23566214807090716	1.0	0.6329113924050633	1.0	1.0
0.0	0.17730168990673192	0.0	0.0	0.2941176470588235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6115203373015873	0.1348019010685793	0.2108956602031394	0.047549530761209595	0.4375	1.0	0.5	0.5
0.0	0.11932506758646406	0.0	0.0	0.45454545454545453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5010058113544926	0.13483014267682977	0.26417573469538824	0.1042752867570386	0.4375	1.0	0.5	0.5
0.0	0.11876043792911486	0.0	0.32142857142857145	0.0	0.0	0.0	0.21428571428571427	0.0	0.0	0.42857142857142855	0.0	0.6119301119301119	0.15407679742141275	0.3166768343408574	0.3065693430656934	1.0	0.6329113924050633	1.0	1.0
