is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	keyword8	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.5393943642226273	0.7272727272727272	0.0	0.18181818181818182	0.0	0.36363636363636365	0.0	0.0	0.33333333333333337	0.3264117282976735	0.19705254638772127	0.25082153690596565	0.5257374204742626	1.0	0.21348314606741572	1.0	1.0
0.0	0.9290241693947204	0.30476190476190473	0.47058823529411764	0.34285714285714286	0.12121212121212122	0.22857142857142856	0.0	0.0	0.20952380952380953	0.5701111927583394	0.39390513096238533	0.4642857142857143	0.51510989010989	0.5789473684210527	0.1348314606741573	1.0	1.0
0.0	1.0	0.2962962962962963	0.0	0.1111111111111111	0.0	0.2222222222222222	0.0	0.0	0.10185185185185186	0.5428819409401935	0.3446502771772517	0.7855163727959698	0.5404595404595405	1.0	0.21348314606741572	1.0	1.0
0.0	0.8596564725596985	0.0	0.0	0.13333333333333333	0.14285714285714285	0.26666666666666666	0.0	0.0	0.0	0.5433689033629234	0.37756949269822754	0.6794273461150353	0.5034595034595035	0.5789473684210527	1.0	0.6666666666666666	0.8571428571428571
0.0	0.2529585798816568	0.0	0.0	0.3333333333333333	0.0	0.6666666666666666	0.0	0.0	0.0	0.163450513922707	0.11499470308788379	0.17961226558540294	0.4822954822954822	0.5789473684210527	0.1348314606741573	1.0	1.0
0.0	0.8588169642857143	0.16666666666666666	0.0	0.125	0.0	0.5	0.0	0.0	0.34375	0.40740486413778904	0.32829191505834177	0.6790847201210288	0.47176960970064413	1.0	0.21348314606741572	1.0	1.0
0.0	0.823837452869711	0.0	0.27586206896551724	0.0	0.0	0.0	0.0	0.0	0.12222222222222223	0.4890320130266311	0.29548563648888576	0.7151866801210899	0.41066341066341056	0.5789473684210527	1.0	0.6666666666666666	0.8571428571428571
0.0	0.5396591626341258	0.0	0.0	0.19047619047619047	0.0	0.38095238095238093	0.0	0.0	0.0	0.3536656416895938	0.22990622366499602	0.46592920353982303	0.5775335775335775	0.5789473684210527	0.1348314606741573	1.0	1.0
0.0	0.14412136536030343	0.8888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.40740740740740744	0.2721727268679493	0.11496350486343504	0.17933957489878544	0.39194139194139194	1.0	0.21348314606741572	1.0	1.0
0.0	0.10809102402022756	0.8888888888888888	0.0	0.0	0.0	0.0	0.0	0.2647058823529412	0.20370370370370372	0.3266072722415391	0.14781263535594705	0.21520748987854252	0.4168498168498168	1.0	0.21348314606741572	1.0	1.0
0.0	0.1083040112596763	0.0	0.0	0.2857142857142857	0.0	0.5714285714285714	0.0	0.0	0.0	0.27233587551285743	0.14783863181882495	0.25132978723404253	0.5904095904095903	0.5789473684210527	0.1348314606741573	1.0	1.0
0.0	0.10851783951487802	0.0	0.8888888888888888	0.0	0.0	0.0	0.0	0.0	0.0	0.16349953192058456	0.06571580970286273	0.14376267748478702	0.27472527472527475	0.5789473684210527	1.0	0.6666666666666666	0.8571428571428571
0.0	0.2519646365422397	0.5333333333333333	0.8421052631578947	0.0	0.0	0.0	0.0	0.0	0.18333333333333335	0.38092771615754095	0.14779964020977548	0.21509863429438544	0.22430510665804784	1.0	0.21348314606741572	1.0	1.0
0.0	0.17979812140754242	0.24242424242424243	0.0	0.0	0.0	0.0	0.0	0.21428571428571427	0.33333333333333337	0.40801466037209194	0.14778664711979794	0.214989888776542	0.29786003470214	1.0	0.21348314606741572	1.0	1.0
0.0	0.10851783951487802	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13624960993382046	0.03285627897907239	0.10782200811359027	0.06750392464678177	0.5789473684210527	1.0	0.6666666666666666	0.8571428571428571
0.0	0.10846430333356825	0.48484848484848486	0.0	0.0	0.0	0.0	0.0	0.0	0.33333333333333337	0.19072085578832204	0.0657125587302556	0.10779467680608365	0.31043956043956045	1.0	0.21348314606741572	1.0	1.0
0.0	0.2529585798816568	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1906922662431582	0.08213777303925958	0.2514571718195641	0.30402930402930406	0.5789473684210527	1.0	0.6666666666666666	0.8571428571428571
0.0	0.03601263601263601	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38098475834324896	0.03283872928311278	0.07171768277257778	0.012362637362637338	0.5789473684210527	1.0	0.6666666666666666	0.8571428571428571
0.0	0.2519646365422397	0.26666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.18333333333333335	0.2993003484094965	0.11495310874649776	0.21509863429438544	0.4544279250161603	1.0	0.21348314606741572	1.0	1.0
0.0	0.2872541471267586	0.21333333333333335	0.0	0.0	0.0	0.0	0.0	0.1875	0.14666666666666667	0.4350202985750562	0.13134714349455384	0.1790224804243496	0.4475524475524475	1.0	0.21348314606741572	1.0	1.0
0.0	0.07209612817089453	0.3137254901960784	0.0	0.0	0.0	0.0	0.0	0.0	0.21568627450980393	0.29943484527067515	0.06569305829682251	0.1435079726651481	0.29827315541601246	1.0	0.21348314606741572	1.0	1.0
0.0	0.18015170670037928	0.0	0.0	0.0	0.0	0.0	0.0	0.2647058823529412	0.0	0.3266072722415391	0.11496350486343504	0.17933957489878544	0.21611721611721615	0.5789473684210527	1.0	0.6666666666666666	0.8571428571428571
0.0	0.10772030517253448	0.0	0.0	0.0	0.17391304347826086	0.0	0.0	0.0	0.14666666666666667	0.4350202985750562	0.16418717918370204	0.2864359686789594	0.23876123876123873	0.5789473684210527	1.0	0.6666666666666666	0.8571428571428571
