is_a_highlight	abstract	keyword1	keyword2	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.36678200692041524	0.23333333333333334	0.0	0.24340143117435692	0.04826337643299649	0.1750816711375528	0.11022044088176351	1.0	1.0	1.0	1.0
0.0	0.504325259515571	0.0	0.0	0.1825510733807677	0.06757234658975958	0.30639292449071737	0.2254509018036072	1.0	1.0	1.0	1.0
0.0	0.5501730103806228	0.4666666666666667	0.0	0.33467696786474077	0.08688131674652268	0.3501633422751056	0.45591182364729455	1.0	1.0	1.0	1.0
0.0	0.3670995670995671	0.5	0.0	0.24344231836252667	0.048266391928277294	0.21898586159243116	0.24521264751725674	1.0	1.0	1.0	1.0
0.0	0.7760551248923343	0.0	0.0	0.2735968512105448	0.09651130666388721	0.39273420536990944	0.19817412602983747	1.0	1.0	1.0	1.0
0.0	0.6407599309153714	0.0	0.4444444444444444	0.33456458473248263	0.10617973390585468	0.34973605326683815	0.30672456023157424	0.1111111111111111	0.109375	0.4	0.8571428571428571
0.0	1.0	0.0	0.3076923076923077	0.48598662683169724	0.14474040769940216	0.522055911934743	0.32812000813220643	0.1111111111111111	0.109375	0.4	0.8571428571428571
0.0	0.18339100346020762	0.0	0.0	0.3042517889679462	0.028954406276233403	0.0875408355687764	0.17702070808283224	1.0	1.0	1.0	1.0
0.0	0.314406779661017	0.0	0.0	1.0	0.11570920701450071	0.2588278407454912	0.04874614093050964	1.0	1.0	1.0	1.0
0.0	0.40769230769230774	0.2413793103448276	0.0	0.5463685108457226	0.14471329471174904	0.30379480156953625	0.15394987505875948	1.0	1.0	1.0	1.0
0.0	0.18135158254918735	0.25	0.0	0.7286134344957873	0.12542089701414794	0.3474044795783926	0.1310955243820976	1.0	1.0	1.0	1.0
0.0	0.09177489177489177	0.25	0.0	0.3043028979531583	0.03861152991298564	0.08759434463697247	0.08962369182810068	1.0	1.0	1.0	1.0
0.0	0.0913006029285099	0.17500000000000002	0.0	0.5167940522865846	0.06755350415820803	0.08727426785997987	0.06791360498775331	1.0	1.0	1.0	1.0
0.0	0.0457290767903365	0.19444444444444445	0.0	0.48655770394900827	0.06756104024817582	0.17476139978791091	0.14028056112224446	1.0	1.0	1.0	1.0
0.0	0.274374460742019	0.19444444444444445	0.0	0.3345084214649432	0.07721439469239899	0.08738069989395546	0.1891282565130261	1.0	1.0	1.0	1.0
0.0	0.22844827586206898	0.18421052631578946	0.0	0.42566653442786373	0.09651620493115468	0.2619823543438518	0.29097410507289084	1.0	1.0	1.0	1.0
0.0	0.09185441941074524	0.2692307692307693	0.0	0.27391862170087977	0.04826940765903328	0.1314718787395293	0.3494868524928645	1.0	1.0	1.0	1.0
0.0	0.18339100346020762	0.23333333333333334	0.0	0.39552732565833	0.08688131674652268	0.0875408355687764	0.33066132264529047	1.0	1.0	1.0	1.0
0.0	0.09193408499566348	0.0	0.0	0.30440516745339463	0.03861680764787355	0.13155233888563675	0.0838343353373413	1.0	1.0	1.0	1.0
0.0	0.36551724137931035	0.18421052631578946	0.0	0.48647603934613	0.11582216018118707	0.3056460800678271	0.3458878541396519	1.0	1.0	1.0	1.0
0.0	0.3201035375323555	0.3888888888888889	0.0	0.4561478474521953	0.06756104024817582	0.08738069989395546	0.26104291917167666	1.0	1.0	1.0	1.0
0.0	0.2286453839516825	0.0	0.0	0.42573799095538223	0.06756104024817582	0.3058324496288441	0.21355210420841686	1.0	1.0	1.0	1.0
0.0	0.045808124459809856	0.0	0.0	0.3042006971478004	0.048260361173163305	0.17497478367043584	0.05809237522664376	1.0	1.0	1.0	1.0
0.0	0.31709401709401713	0.0	0.0	0.5463685108457226	0.09646723946013658	0.30379480156953625	0.11937455157228044	1.0	1.0	1.0	1.0
0.0	0.13802083333333334	0.0	0.0	0.27401069518716575	0.01930746081915477	0.08775526504965521	0.12580716989534624	1.0	1.0	1.0	1.0
0.0	0.09137931034482759	0.0	0.0	0.3040475245913312	0.038598339181057505	0.08732745144795061	0.013851231875515721	1.0	1.0	1.0	1.0
0.0	0.27366609294320143	0.0	0.0	0.4863127923530608	0.11581085692869876	0.2616634470348514	0.08886193439510597	1.0	1.0	1.0	1.0
0.0	0.27179487179487183	0.0	0.26666666666666666	0.6070761231619141	0.12541487261110407	0.3905933163036895	0.15073356589722664	0.1111111111111111	0.109375	0.4	0.8571428571428571
0.0	0.09193408499566348	0.0	0.0	0.30440516745339463	0.03861680764787355	0.1754031185141823	0.1967267869071476	1.0	1.0	1.0	1.0
0.0	0.27343078245915736	0.0	0.2318840579710145	0.5166206605562419	0.1158052059642117	0.3486723791388977	0.29659318637274545	0.1111111111111111	0.109375	0.4	0.8571428571428571
0.0	0.045847750865051905	0.0	0.0	0.3042517889679462	0.028954406276233403	0.0875408355687764	0.0551102204408817	1.0	1.0	1.0	1.0
0.0	0.18057921635434412	0.0	0.0	0.8190038360835414	0.18327701115974518	0.25976618941284646	0.11506884737216364	1.0	1.0	1.0	1.0
0.0	0.2708688245315162	0.0	0.0	0.6976699344415352	0.14468619018632678	0.3030605543149875	0.11506884737216368	1.0	1.0	1.0	1.0
0.0	0.0	0.0	0.0	0.18276594768943855	0.028970241335915987	0.08791677780741532	0.08600534402137609	1.0	1.0	1.0	1.0
0.0	0.13766233766233768	0.25	0.0	0.36516347754379	0.07723097797415224	0.1313915169554587	0.2560676909374304	1.0	1.0	1.0	1.0
