is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.1583858968138444	0.0	0.0	0.7692307692307693	0.0	0.0	0.0	0.5	0.06371254567600487	0.02314144990429354	0.03004649671316338	0.1925925925925926	0.0	0.010471204188481676	1.0	1.0
0.0	0.20346131471785922	0.0	0.7692307692307693	0.0	0.0	0.0	0.0	0.0	0.06369702873843155	0.029752559262767077	0.0750699023370214	0.2835016835016836	0.0	0.010471204188481676	1.0	1.0
0.0	0.24780998389694042	0.5	0.0	0.0	0.7058823529411765	0.823529411764706	0.0	0.0	0.11666423357664234	0.0363601281566962	0.11981618381618382	0.28987654320987655	1.0	1.0	0.5	1.0
0.0	0.20363901018922853	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.053093788063337394	0.02975344452111717	0.06009299342632676	0.18074074074074076	0.42857142857142855	0.0	0.25	0.0
0.0	0.15880197184925732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.010626523647001462	0.016531048923193414	0.045153362407536805	0.10264550264550266	1.0	1.0	0.5	1.0
0.0	0.7288528938145306	0.20512820512820512	0.25	0.0	0.0	0.0	0.25	0.0	0.18984272925235907	0.10901316421504806	0.26582398184339934	0.23352826510721247	0.0	0.010471204188481676	1.0	1.0
0.0	0.24824170860756226	0.0	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.10611002921129505	0.03305652063341745	0.10496835265781661	0.1737891737891738	0.0	0.010471204188481676	1.0	1.0
0.0	0.045332296425909725	0.0	0.0	0.0	0.0	0.0	0.0	0.6000000000000001	0.07436753594930538	0.013224343308528506	0.015041818502881542	0.11851851851851851	0.42857142857142855	0.0	0.25	0.0
0.0	0.045411757068198784	0.0	0.0	0.0	0.0	0.0	0.0	0.75	0.06377468910021947	0.00991887727367077	0.015060434614890062	0.014814814814814817	0.42857142857142855	0.0	0.25	0.0
0.0	0.09026971222093173	0.0	0.3333333333333333	0.0	0.0	0.0	0.0	0.0	0.12733203505355403	0.03305652063341745	0.05998191580446664	0.03817663817663819	0.0	0.010471204188481676	1.0	1.0
0.0	0.13458393458393458	0.0	0.22727272727272727	0.43478260869565216	0.0	0.0	0.0	0.0	0.13770838396111787	0.05618549217737368	0.05972432475499961	0.12296296296296297	0.0	0.010471204188481676	1.0	1.0
0.0	0.13470055844405932	0.0	0.0	0.0	0.0	0.0	0.0	0.5714285714285714	0.18012396694214877	0.04627148263502762	0.0747012349222294	0.16335282651072125	0.42857142857142855	0.0	0.25	0.0
0.0	0.11303406373214402	0.0	0.0	0.0	0.0	0.0	0.7692307692307693	0.0	0.08492937165124209	0.02644665048019027	0.060055921869617127	0.17575757575757575	0.0	0.08900523560209424	0.0	0.5
0.0	0.06752582295588377	0.0	0.0	0.17543859649122806	0.0	0.0	0.0	0.3333333333333333	0.15904889321333007	0.03966453235558807	0.029935624031564995	0.11296296296296299	0.42857142857142855	0.0	0.25	0.0
0.0	0.1562031454365649	0.0	0.0	0.0	0.0	0.0	0.17857142857142855	0.21428571428571427	0.2432831836932783	0.05948051924806128	0.05950528688914997	0.16752136752136754	0.42857142857142855	0.0	0.25	0.0
0.0	0.17760005077914248	0.0	0.0	0.0	0.0	0.0	0.14705882352941174	0.17647058823529413	0.23236733704870366	0.05616638645963872	0.10375373712767136	0.12500000000000003	1.0	1.0	0.5	1.0
0.0	0.06717564582733122	0.0	0.0	0.0	0.0	0.0	0.0	0.5	0.14822929317464173	0.03304775986024131	0.029825566590272475	0.0936026936026936	0.42857142857142855	0.0	0.25	0.0
0.0	0.022508607651961256	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1378423741182194	0.026442667457560663	0.029935624031564995	0.04999999999999998	1.0	1.0	0.5	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07436753594930538	0.0231428664314462	0.07520909251440772	0.12222222222222226	1.0	1.0	0.5	1.0
0.0	0.1583858968138444	0.0	0.0	0.0	0.0	0.0	0.8333333333333333	0.5	0.08495006090133983	0.02314144990429354	0.09013949013949014	0.42518518518518517	0.0	0.08900523560209424	0.0	0.5
0.0	0.24609799782511355	0.0	0.39999999999999997	0.0	0.48000000000000004	0.56	0.0	0.0	0.15877853326857697	0.04626617407050713	0.11922920924758035	0.2599033816425121	0.0	0.010471204188481676	1.0	1.0
0.0	0.02239188194244374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1799927131406364	0.03304775986024131	0.07456391647568118	0.05252525252525255	1.0	1.0	0.5	1.0
0.0	0.11313278343846028	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.09556881851400731	0.026447447212705352	0.10516273849607183	0.17481481481481484	1.0	1.0	0.5	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14840953307392996	0.029747248708111126	0.04487583713152244	0.08409586056644884	1.0	1.0	0.5	1.0
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06377468910021947	0.016531580192006647	0.015060434614890062	0.04444444444444446	1.0	1.0	0.5	1.0
0.0	0.06752582295588377	0.0	0.27777777777777773	0.0	0.0	0.0	0.0	0.0	0.1060325954755534	0.026442667457560663	0.05987124806312999	0.027777777777777787	0.0	0.010471204188481676	1.0	1.0
0.0	0.11234782050046577	0.0	0.0	0.0	0.0	0.35000000000000003	0.0	0.0	0.16956965718453684	0.052883388422719314	0.0448482721209994	0.05761316872427984	1.0	1.0	0.5	1.0
