is_a_highlight	abstract	keyword1	keyword2	keyword3	keyword4	keyword5	keyword6	keyword7	introduction	conclusion	text	word freq. in sentence	n_sents_intro	n_sents_text	n_sents_abst	n_sents_conclu
0.0	0.3451681523500811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10227231238154642	0.04788308338604196	0.16470823632130382	0.10859083476583792	1.0	1.0	1.0	1.0
0.0	0.20811278501628663	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0409327509911105	0.04105283518978553	0.13222838785046725	0.0889004082161602	1.0	1.0	1.0	1.0
0.0	0.32241822114084884	0.0	0.0	0.0	0.0	0.6666666666666666	0.0	0.0	0.12274420395563927	0.08208868253086221	0.23072582993593477	0.3570473984319316	0.14285714285714285	0.3225806451612903	0.25	0.0
0.0	0.39024184855834004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13291234547182237	0.07523550586970411	0.29595801859384074	0.17836778332145403	1.0	1.0	1.0	1.0
0.0	0.3892977150537634	0.2916666666666667	0.2916666666666667	0.2916666666666667	0.0	0.0	0.36000000000000004	0.0	0.1635325724644317	0.12309736702358931	0.39392401392111365	0.27744894480771026	0.11904761904761904	0.0	0.25	0.2857142857142857
0.0	0.47973652453740945	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14303869974153072	0.08205472791366711	0.29492979154603355	0.13375185043039647	1.0	1.0	1.0	1.0
0.0	0.1608178263214671	0.35000000000000003	0.35000000000000003	0.35000000000000003	0.0	0.0	0.0	0.0	0.15338091999033945	0.07523861876249527	0.26322674418604647	0.12578309637243504	0.11904761904761904	0.0	0.25	0.2857142857142857
0.0	0.24988333333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.22461254074727288	0.0820309763900598	0.3590145617070357	0.08436467310309081	1.0	1.0	1.0	1.0
0.0	0.1833467850417003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21466763024998592	0.07522928085680738	0.3613065873476494	0.11339337782673492	1.0	1.0	1.0	1.0
0.0	0.22698507860378364	0.0	0.0	0.0	0.0	0.0	0.0	0.7567567567567568	0.25521746487494756	0.10253448054709809	0.29356988472622475	0.09934593937361111	1.0	1.0	1.0	1.0
0.0	0.3043963757018887	0.0	0.0	0.0	0.0	0.0	0.0	0.15217391304347827	0.5074054279457445	0.2318841311845502	0.41101606145251396	0.06800035237492696	1.0	1.0	1.0	1.0
0.0	0.20412340255591052	0.0	0.19444444444444445	0.19444444444444445	0.0	0.0	0.0	0.3684210526315789	0.22456200130689116	0.12303628914869648	0.2934007776497696	0.13100498930862434	1.0	1.0	1.0	1.0
0.0	0.11543021680216803	0.0	0.5	0.0	0.0	0.0	0.0	0.0	0.08185447247707371	0.04104943719821248	0.16509261960326718	0.19765338011952413	0.023809523809523808	0.3064516129032258	0.0	0.0
0.0	0.16042843691148775	0.30434782608695654	0.0	0.0	0.0	0.0	0.0	0.0	0.1431047628547504	0.0957463574541185	0.19707632037144512	0.1664614786496468	1.0	1.0	1.0	1.0
0.0	0.20510634028892455	0.0	0.0	0.23333333333333334	0.0	0.0	0.0	0.0	0.2655759325124603	0.12306682050792939	0.26170520231213873	0.12352839973455895	1.0	1.0	1.0	1.0
0.0	0.06881058158319871	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11244818228402051	0.04103585085517389	0.09859538327526131	0.1040627227369922	1.0	1.0	1.0	1.0
0.0	0.02310482777325739	0.0	0.0	0.0	0.0	0.0	0.0	0.9333333333333333	0.06139581870860866	0.02052556806184108	0.0	0.11350677120456167	1.0	1.0	1.0	1.0
0.0	0.06931448331977218	0.0	0.0	0.0	0.0	0.0	0.6428571428571429	0.0	0.07163011262504826	0.05473484816490953	0.0991133975481611	0.2744119743406985	1.0	1.0	1.0	1.0
0.0	0.04620965554651478	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.051161524792169066	0.03420928010306846	0.0991133975481611	0.20456165359942985	1.0	1.0	1.0	1.0
0.0	0.06937092833876221	0.0	0.0	0.0	0.0	0.46153846153846156	0.6923076923076924	0.0	0.07163894480965792	0.04105283518978553	0.06611419392523363	0.31205857577917445	0.14285714285714285	0.3225806451612903	0.25	0.0
0.0	0.06942746536267319	0.0	0.0	0.0	0.0	0.5	0.75	0.0	0.07164777890001461	0.034212111997116726	0.06615283459964932	0.2838916607270136	0.14285714285714285	0.3225806451612903	0.25	0.0
0.0	0.09241931109302956	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04092723087572947	0.04105113612368216	0.1321511967308815	0.18460441910192446	1.0	1.0	1.0	1.0
0.0	0.09234417344173441	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05115490208255963	0.03420786433184373	0.13207409568261375	0.12857064532046716	1.0	1.0	1.0	1.0
0.0	0.18438852813852816	0.4375	0.4375	0.4375	0.0	0.0	0.0	0.7777777777777778	0.13298952715404055	0.06156905965365662	0.2308602855477855	0.18260869565217394	0.11904761904761904	0.0	0.25	0.2857142857142857
0.0	0.11561821389793703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09210974068868952	0.06157925278467829	0.2313996787383177	0.17734724292101342	1.0	1.0	1.0	1.0
0.0	0.1606878199946106	0.3333333333333333	0.3333333333333333	0.3333333333333333	0.0	0.0	0.0	0.0	0.18403969696406913	0.11627305452590635	0.3288422428820453	0.26593014967925876	0.11904761904761904	0.0	0.25	0.2857142857142857
